"title","jobType","description","deadline","keywords","skills","jobLink","workEmail","numberOfPositions","workType","formattedAddress","city","state","country","latitude","longitude","company","companyWebsite","companyLogo","companyEmail","salaryMin","salaryMax","salaryCurrency","salaryPeriod","allowEmailApplications","hiringTeam","screeningQuestions","job.visibility.allowedLocations"
"Senior Brand Designer","Full-time","<div><p><strong>About the Company</strong><br />Owner.com helps independent restaurants grow through a digital platform that drives discovery, direct orders, and repeat business without relying on third-party marketplaces.</p><p><br /></p><p><strong>About the Role</strong><br />Owner.com is hiring a remote Senior Brand Designer to design and evolve scalable brand systems, develop innovative storytelling strategies, and partner with product, marketing, and agency teams on high-profile creative work.</p><p><br /></p><strong>Responsibilities</strong><ul><li>Design and evolve scalable brand systems across all surfaces and touchpoints</li><li>Develop innovative concepts and storytelling strategies that drive brand expression</li><li>Partner with product, marketing, and external agencies on creative solutions aligned with business goals</li><li>Manage high-profile projects from concept to delivery with strategic and hands-on rigor</li><li>Stay informed about industry trends, emerging technologies, and cultural shifts</li></ul><p><br /></p><strong>Requirements</strong><ul><li>Strong portfolio demonstrating brand system design and high-craft visual work</li><li>Experience leading brand identity and campaign work across digital and physical touchpoints</li><li>Excellent cross-functional collaboration and project management skills</li><li>High standards for quality, attention to detail, and polished final execution</li></ul><p><br /></p><p><strong>Compensation</strong><br />$190,000 - $220,000 USD per year.</p><p><br /></p><p><strong>Location</strong><br />Remote (United States).</p></div>","","brand design,senior designer,brand systems,creative leadership,remote USA","Brand design,Brand systems,Visual identity,Creative direction,Cross-functional collaboration","https://www.remoterocketship.com/company/owner-com-2/jobs/senior-brand-designer-united-states-remote/","","","Remote","","Remote","","","","","Owner.com","https://owner.com","https://www.google.com/s2/favicons?domain=owner.com&sz=256","","190000","220000","USD","year","false","","","United States,US"
"Brand Designer","Full-time","<div><p><strong>About the Company</strong><br />HappyCo builds software that helps property managers and owners inspect, maintain, and improve rental housing at scale.</p><p><br /></p><p><strong>About the Role</strong><br />HappyCo is hiring a remote Brand Designer to create brand and campaign assets across digital, print, social, events, and motion while building templates, component libraries, and AI-assisted brand workflows.</p><p><br /></p><strong>Responsibilities</strong><ul><li>Create brand and campaign assets from concept to final output across digital, print, social, events, and motion</li><li>Design for web through production, including no-code environments and front-end collaboration</li><li>Contribute to video and motion work including brand animation and product storytelling</li><li>Build brand templates, component libraries, and self-serve tools for the wider organization</li><li>Audit and resolve brand inconsistencies across channels and self-serve materials</li></ul><p><br /></p><strong>Requirements</strong><ul><li>Strong portfolio across brand, campaign, and digital design work</li><li>Experience building scalable brand systems and self-serve creative tools</li><li>Comfort with motion, video, and AI-assisted brand workflows</li><li>Excellent written brand guidance and cross-functional communication skills</li></ul><p><br /></p><p><strong>Compensation</strong><br />$96,000 - $192,000 USD per year.</p><p><br /></p><p><strong>Location</strong><br />Remote (United States).</p></div>","","brand design,campaign design,motion,design systems,remote USA","Brand design,Campaign design,Motion graphics,Design systems,AI creative tools","https://www.remoterocketship.com/company/happyco/jobs/brand-designer-united-states-remote/","","","Remote","","Remote","","","","","HappyCo","https://happy.co","https://www.google.com/s2/favicons?domain=happy.co&sz=256","","96000","192000","USD","year","false","","","United States,US"
"Senior Digital Designer, Contract","Contract","<div><p><strong>About the Company</strong><br />hims & hers is a telehealth company making wellness accessible through direct-to-consumer health and personal care products.</p><p><br /></p><p><strong>About the Role</strong><br />hims & hers is hiring a remote contract Senior Digital Designer to own high-impact customer-facing web experiences from brief through delivery, partnering with design, product, research, and engineering.</p><p><br /></p><strong>Responsibilities</strong><ul><li>Own high-impact customer-facing experiences across the top-of-funnel web ecosystem</li><li>Lead projects from brief through delivery with flows, wireframes, and high-fidelity designs</li><li>Elevate the standard of care through human-centered solutions and user advocacy</li><li>Partner with Design, Product, Research, and Engineering on complex problems</li><li>Leverage AI tools to sharpen storytelling and improve design outcomes</li></ul><p><br /></p><strong>Requirements</strong><ul><li>5+ years in product design leading alongside cross-functional peers</li><li>Holistic approach from high-level strategy to small design details</li><li>Excellent communication and ability to present decisions and processes clearly</li><li>Strong portfolio of shipped web and product design work</li></ul><p><br /></p><p><strong>Compensation</strong><br />$145,000 - $175,000 USD per year (contract).</p><p><br /></p><p><strong>Location</strong><br />Remote (United States).</p></div>","","digital design,product design,UX,web design,contract,remote USA","Product design,UX design,Web design,Wireframing,Figma,AI design tools","https://www.remoterocketship.com/company/hims-hers/jobs/senior-digital-designer-contract-united-states-remote/","","","Remote","","Remote","","","","","hims & hers","https://www.hims.com","https://www.google.com/s2/favicons?domain=hims.com&sz=256","","145000","175000","USD","year","false","","","United States,US"
"Graphic Designer","Full-time","<div><p><strong>About the Company</strong><br />GE HealthCare is a global leader in medical technology and digital solutions, helping clinicians and health systems deliver better patient outcomes.</p><p><br /></p><p><strong>About the Role</strong><br />GE HealthCare is hiring a remote Graphic Designer to create compelling campaign and product-launch assets, next-level presentations, and visual stories that translate complex clinical concepts for healthcare audiences.</p><p><br /></p><strong>Responsibilities</strong><ul><li>Design creative assets across campaigns, product launches, and multiple channels</li><li>Create memorable PowerPoint presentations and executive-ready visual content</li><li>Translate complex clinical, technical, and business concepts into engaging visual stories</li><li>Leverage generative AI and automation tools to accelerate creative development</li><li>Ensure all creative work aligns with GE HealthCare brand standards</li></ul><p><br /></p><strong>Requirements</strong><ul><li>5+ years of professional graphic design experience, preferably in healthcare or B2B</li><li>Expert proficiency in Adobe Creative Suite (Illustrator, Photoshop, InDesign)</li><li>Advanced PowerPoint presentation design expertise</li><li>Experience with generative AI tools in a creative workflow</li></ul><p><br /></p><p><strong>Compensation</strong><br />$108,000 - $162,000 USD per year.</p><p><br /></p><p><strong>Location</strong><br />Remote (United States).</p></div>","","graphic design,healthcare,Adobe Creative Suite,presentations,remote USA","Adobe Illustrator,Adobe Photoshop,Adobe InDesign,Presentation design,Healthcare marketing","https://www.remoterocketship.com/company/gehealthcare/jobs/graphic-designer-united-states-remote/","","","Remote","","Remote","","","","","GE HealthCare","https://www.gehealthcare.com","https://www.google.com/s2/favicons?domain=gehealthcare.com&sz=256","","108000","162000","USD","year","false","","","United States,US"
"Senior Brand Designer","Full-time","<div><p><strong>About the Company</strong><br />Matchstic is a brand agency that helps organizations define, express, and implement distinctive brand identities across digital, print, environmental, and experiential touchpoints.</p><p><br /></p><p><strong>About the Role</strong><br />Matchstic is hiring a remote Senior Brand Designer to lead boundary-pushing identity systems, mentor designers, and serve as a trusted creative partner to clients across industries.</p><p><br /></p><strong>Responsibilities</strong><ul><li>Lead creation of identity systems and brand applications across digital, print, environmental, packaging, and experiential</li><li>Art direct and mentor designers while elevating creative quality across the agency</li><li>Craft and present visual work with strong conceptual thinking and strategic rationale</li><li>Build thorough brand guidelines and implementation tools for client teams</li><li>Collaborate with strategists, writers, and project managers on client engagements</li></ul><p><br /></p><strong>Requirements</strong><ul><li>Senior brand design experience with a diverse, high-craft portfolio</li><li>Strong conceptual thinking and client presentation skills</li><li>Experience building comprehensive brand guidelines and systems</li><li>Ability to work across a wide range of aesthetic styles</li></ul><p><br /></p><p><strong>Compensation</strong><br />$89,000 - $118,500 USD per year.</p><p><br /></p><p><strong>Location</strong><br />Remote (United States).</p></div>","","brand design,senior designer,identity systems,agency,remote USA","Brand identity,Art direction,Brand guidelines,Visual design,Client presentation","https://www.remoterocketship.com/company/matchstic/jobs/senior-brand-designer-united-states-remote/","","","Remote","","Remote","","","","","Matchstic","https://matchstic.com","https://www.google.com/s2/favicons?domain=matchstic.com&sz=256","","89000","118500","USD","year","false","","","United States,US"
"Web and Brand Designer","Full-time","<div><p><strong>About the Company</strong><br />Kraken is a global digital asset exchange and fintech company making crypto and financial services accessible to millions of users worldwide.</p><p><br /></p><p><strong>About the Role</strong><br />Kraken is hiring a remote Web and Brand Designer to own web design and UX end-to-end, build an AI design system for self-serve production, and evolve the brand across marketing surfaces.</p><p><br /></p><strong>Responsibilities</strong><ul><li>Own web design and UX end-to-end from information architecture through dev-ready handoff</li><li>Build the AI design system that lets the team self-serve quality marketing assets</li><li>Extend design across lifecycle email, organic social, and brand marketing surfaces</li><li>Own and evolve the brand system with a systems-builder mindset</li><li>Partner with engineering on clean Figma-to-production handoff</li></ul><p><br /></p><strong>Requirements</strong><ul><li>5+ years of hands-on web and digital design experience</li><li>Strong portfolio of shipped web and marketing design in a fast-moving environment</li><li>Deep command of website UX, responsive layout, design systems, and conversion design</li><li>Demonstrable AI design skills and prototyping ability</li></ul><p><br /></p><p><strong>Compensation</strong><br />$96,000 - $192,000 USD per year.</p><p><br /></p><p><strong>Location</strong><br />Remote (United States).</p></div>","","web design,brand design,UX,design systems,AI design,remote USA","Web design,UX design,Figma,Design systems,AI design tools,Brand design","https://www.remoterocketship.com/company/kraken-digital-asset-exchange/jobs/web-and-brand-designer-united-states-remote/","","","Remote","","Remote","","","","","Kraken","https://www.kraken.com","https://www.google.com/s2/favicons?domain=kraken.com&sz=256","","96000","192000","USD","year","false","","","United States,US"
"Remote Illustrator, Freelance","Freelance","<div><p><strong>About the Company</strong><br />Freestyle Creative is a creative agency producing digital marketing campaigns, web assets, print collateral, and brand storytelling for diverse clients.</p><p><br /></p><p><strong>About the Role</strong><br />Freestyle Creative is seeking a remote freelance illustrator for project-based client work across digital marketing, web assets, print collateral, brand storytelling, and animated content.</p><p><br /></p><strong>Responsibilities</strong><ul><li>Translate creative briefs into illustration concepts and polished final artwork</li><li>Present sketches and refine artwork based on client and creative director feedback</li><li>Produce original illustrations aligned with client brand guidelines</li><li>Manage multiple projects with creative directors and project managers</li></ul><p><br /></p><strong>Requirements</strong><ul><li>Strong illustration portfolio across multiple techniques</li><li>Proficiency in Adobe Creative Suite and visual storytelling</li><li>Awareness of current design trends and strong visual communication skills</li><li>Ability to work independently on a freelance, project-based basis</li></ul><p><br /></p><p><strong>Location</strong><br />Remote (United States).</p></div>","","illustration,freelance illustrator,mural-adjacent,brand storytelling,remote USA","Illustration,Adobe Creative Suite,Concept sketching,Visual storytelling,Brand guidelines","https://hirro.kesug.com/job/remote-illustrator-freelance","","","Remote","","Remote","","","","","Freestyle Creative","https://thefreestyleagency.com","https://www.google.com/s2/favicons?domain=thefreestyleagency.com&sz=256","","","","","","false","","","United States,US"
"Graphic Designer & Illustrator","Part-time","<div><p><strong>About the Company</strong><br />Prime Insights builds mobile app brands and visual identities with a focus on polished product illustration and gamified user experiences.</p><p><br /></p><p><strong>About the Role</strong><br />Prime Insights is hiring a remote part-time Graphic Designer and Illustrator to create visual identities, illustrations, mascots, icons, onboarding graphics, and event artwork for mobile app brands.</p><p><br /></p><strong>Responsibilities</strong><ul><li>Maintain brand and application visual identity across product touchpoints</li><li>Design custom icons, mascots, onboarding graphics, badges, and reward visuals</li><li>Create event artwork and marketing illustrations for web, mobile, and video content</li><li>Adapt visual styles for different markets and prepare assets for animation handoff</li><li>Collaborate with product and creative teams in async remote workflows</li></ul><p><br /></p><strong>Requirements</strong><ul><li>Experience creating modern vector illustrations, iconography, and UI illustrations</li><li>Proficiency in Adobe Illustrator and Figma or similar tools</li><li>Comfort with async remote work and overlap with Central European hours</li><li>Strong SaaS-style product visual sensibility and attention to detail</li></ul><p><br /></p><p><strong>Location</strong><br />Remote (Spain / Central European hours).</p></div>","","illustration,vector art,mascots,icons,remote Spain","Adobe Illustrator,Figma,Vector illustration,Iconography,Mascots,UI illustration","https://www.jobijoba.es/oferta-empleo/69/8a5ae5be3e108a1165d9085c7127bca4","","","Remote","","Remote","","","","","Prime Insights","https://primeinsights.com","https://www.google.com/s2/favicons?domain=primeinsights.com&sz=256","","","","","","false","","","Spain"
"Illustrator – Contract","Freelance","<div><p><strong>About the Company</strong><br />Twine connects freelance creatives with clients for illustration, design, and content projects across marketing, publishing, and entertainment.</p><p><br /></p><p><strong>About the Role</strong><br />Twine is hiring a remote contract Illustrator to create cinematic, painterly visuals for a heartfelt children's picture book, including 26 full-color interior illustrations and a cover.</p><p><br /></p><strong>Responsibilities</strong><ul><li>Create 26 full-color interior illustrations and a cover in a cinematic, painterly style</li><li>Ensure character consistency and emotional storytelling across all artwork</li><li>Work from character sheets, scene descriptions, and visual references</li><li>Begin with a paid test illustration to assess fit and style alignment</li><li>Collaborate with the client through revisions to final book-ready artwork</li></ul><p><br /></p><strong>Requirements</strong><ul><li>Strong portfolio in painterly or narrative illustration</li><li>Experience with children's book or editorial illustration preferred</li><li>Ability to maintain character consistency across a full book project</li><li>Professional communication and reliable remote delivery</li></ul><p><br /></p><p><strong>Location</strong><br />Remote (United Kingdom).</p></div>","","illustration,painterly,children's book,contract,remote UK","Illustration,Digital painting,Character design,Visual storytelling,Book illustration","https://www.linkedin.com/jobs/view/4431509828/","","","Remote","","Remote","","","","","Twine","https://www.twine.net","https://www.google.com/s2/favicons?domain=twine.net&sz=256","","","","","","false","","","United Kingdom"
"Senior 2D Concept Artist","Full-time","<div><p><strong>About the Company</strong><br />Magic Media is an international gaming, tech, and entertainment group providing full-cycle game development, video production, and art production services.</p><p><br /></p><p><strong>About the Role</strong><br />Magic Media is hiring a remote Senior 2D Concept Artist to develop high-quality environment and character concept art with strong digital painting fundamentals and stylized, realistic detail.</p><p><br /></p><strong>Responsibilities</strong><ul><li>Develop high-quality original concept art for environment and character designs</li><li>Collaborate with art and design teams to ensure visual consistency</li><li>Translate project briefs into compelling visual narratives</li><li>Produce multiple iterations efficiently while balancing creativity with deadlines</li><li>Create color scripts, mood boards, and reference boards to guide production</li></ul><p><br /></p><strong>Requirements</strong><ul><li>Proven experience as a Concept Artist, especially in environment design</li><li>Strong proficiency in digital painting tools such as Photoshop, Corel Painter, or Procreate</li><li>Solid grasp of traditional art fundamentals and stylized design with realistic detail</li><li>Excellent communication and collaborative skills</li></ul><p><br /></p><p><strong>Location</strong><br />Remote (Spain).</p></div>","","concept art,digital painting,environment art,illustration,remote Spain","Concept art,Digital painting,Adobe Photoshop,Environment design,Art fundamentals","https://www.remoterocketship.com/company/magic-media/jobs/senior-2d-concept-artist-spain-remote/","","","Remote","","Remote","","","","","Magic Media","https://magicmedia.studio","https://www.google.com/s2/favicons?domain=magicmedia.studio&sz=256","","","","","","false","","","Spain"
