"title","jobType","description","deadline","keywords","skills","jobLink","workEmail","numberOfPositions","workType","formattedAddress","city","state","country","latitude","longitude","company","companyWebsite","companyLogo","companyEmail","salaryMin","salaryMax","salaryCurrency","salaryPeriod","allowEmailApplications","hiringTeam","screeningQuestions","externalApplicationLink","createdAt"
"Assistant Editor","Freelance","<div><p><strong>About the Company</strong><br />Mocean is a creative studio producing social campaigns for major studios and brands. The team pairs senior editors with assistant talent to deliver fast-turn, spec-accurate social creative.</p><br /><p><strong>About the Role</strong><br />Mocean is hiring a freelance Assistant Editor to support its Social team on a fully remote contract. This entry-level role is built for someone early in their career who wants hands-on reps cutting social campaigns while supporting senior editors with media management, versioning, and delivery.</p><br /><p><strong>Responsibilities</strong></p><ul><li>Ingest, organize, transcode, and maintain project files</li><li>Cut versions, resizes, and platform variants from approved masters</li><li>Take on light editing assignments as skills grow</li><li>Prepare exports and deliveries across social platform specs (vertical, square, horizontal, captioned)</li><li>Support senior editors and the creative team through the full project lifecycle</li></ul><br /><p><strong>Requirements</strong></p><ul><li>Proficiency in Adobe Premiere Pro</li><li>Working knowledge of social platform specs and aspect ratios (IG, TikTok, YouTube, X, Meta)</li><li>Strong organizational habits and attention to detail</li><li>Ability to juggle multiple projects and hit fast turnarounds</li><li>Clear, proactive communication in a fully remote environment</li><li>After Effects experience is a plus</li></ul><br /><p><strong>Compensation</strong><br />$20 – $23 per hour (freelance, fully remote).</p><br /><p><strong>Location</strong><br />Remote.</p></div>","","Assistant Editor,Social Video,Post-Production,Adobe Premiere,Remote Freelance","Adobe Premiere Pro,Social platform specs,Media management,After Effects,Remote collaboration","https://recruiting.paylocity.com/Recruiting/Jobs/Details/4177186","","","Remote","","Remote","","","","","Mocean","https://www.mocean.la","https://www.google.com/s2/favicons?domain=mocean.la&sz=256","","20","23","USD","hour","false","","","https://recruiting.paylocity.com/Recruiting/Jobs/Details/4177186","2026-06-04T12:00:00.000Z"
"Motion and Video Designer","Full-time","<div><p><strong>About the Company</strong><br />Varonis is a data security company helping organizations protect sensitive information. Its marketing team uses motion and video to explain complex security concepts across campaigns, social, web, and events.</p><br /><p><strong>About the Role</strong><br />Varonis is hiring a Motion and Video Designer to elevate how the brand moves, animates, and tells stories across marketing channels. This hands-on remote role combines strong motion fundamentals with clean, compelling video editing for demos, ads, social, tradeshow, and testimonial content.</p><br /><p><strong>Responsibilities</strong></p><ul><li>Curate motion systems with attention to clarity, design, composition, and timing</li><li>Develop and evolve a comprehensive motion graphics package and guidelines</li><li>Edit customer stories, interviews, social content, webinars, and explainer videos</li><li>Design and animate motion assets from concept to completion across campaigns, social, video, and web</li><li>Simplify abstract concepts through thoughtful motion</li><li>Manage projects independently with minimal oversight</li></ul><br /><p><strong>Requirements</strong></p><ul><li>4–6 years of experience in motion design and video editing</li><li>Proven track record with a strong public-facing portfolio</li><li>Expert proficiency in Adobe After Effects, Premiere, Final Cut, Rive, and Figma</li><li>Very strong design eye and ability to work across motion styles</li><li>Passion for enterprise brand storytelling and experimentation</li></ul><br /><p><strong>Location</strong><br />Remote.</p></div>","","Motion Design,Video Editing,Marketing Creative,Cybersecurity,Remote","Adobe After Effects,Adobe Premiere,Final Cut,Figma,Rive,Motion graphics","https://www.linkedin.com/jobs/view/4402591012/","","","Remote","","Remote","","","","","Varonis","https://www.varonis.com","https://www.google.com/s2/favicons?domain=www.varonis.com&sz=256","","","","","","false","","","https://www.linkedin.com/jobs/view/4402591012/","2026-06-04T12:00:00.000Z"
"Digital Designer","Full-time","<div><p><strong>About the Company</strong><br />IDR is a staffing and consulting firm connecting creative and technology talent with enterprise clients. This engagement supports a next-generation energy company focused on innovative solutions and brand storytelling.</p><br /><p><strong>About the Role</strong><br />IDR is seeking a Digital Designer for a remote opportunity with a leading energy client. The role manages and creates engaging marketing materials across digital, print, and broadcast while owning creative from concept through launch.</p><br /><p><strong>Responsibilities</strong></p><ul><li>Manage multiple design projects simultaneously with timely delivery</li><li>Collaborate with cross-functional teams on brand-aligned creative</li><li>Develop visual design strategies to enhance user experience across channels</li><li>Create pixel-perfect digital assets for print, web, social, and broadcast</li><li>Take creative ownership from concept through launch</li></ul><br /><p><strong>Requirements</strong></p><ul><li>5+ years of experience in an agency or in-house creative team</li><li>Proficiency developing digital assets including icons, layouts, typography, and animations</li><li>Experience with CMS platforms such as AEM, SDL Tridion, or WordPress</li><li>Excellent time-management skills in a deadline-driven environment</li><li>Familiarity with digital photo editing and multi-platform design</li></ul><br /><p><strong>Location</strong><br />Remote.</p></div>","","Digital Design,Marketing Creative,Energy,Remote,Agency","Digital layout,Typography,Adobe Creative Suite,CMS,Animation","https://www.linkedin.com/jobs/view/4422623014/","","","Remote","","Remote","","","","","IDR","https://www.idr-inc.com","https://www.google.com/s2/favicons?domain=www.idr-inc.com&sz=256","","","","","","false","","","https://www.linkedin.com/jobs/view/4422623014/","2026-06-04T12:00:00.000Z"
"Photographer","Part-time","<div><p><strong>About the Company</strong><br />Zillow Group operates leading real estate brands. Zillow Media Experts photographers capture listing media that helps agents market homes with photos, video, and interactive 3D floor plans.</p><br /><p><strong>About the Role</strong><br />Zillow Media Experts is seeking experienced photographers for part-time real estate media work in Oregon. This remote-classified field role involves traveling between job sites in your market, capturing media on location, and uploading finished assets to spec.</p><br /><p><strong>Responsibilities</strong></p><ul><li>Capture high-quality photos, videos, and 3D interactive floor plans for listings</li><li>Drive between job sites within your assigned market area</li><li>Cull and upload media according to Zillow Media Experts specifications</li><li>Deliver professional listing media that helps agents market properties</li><li>Work part-time (typically 10–20 hours per week, with occasional higher demand)</li></ul><br /><p><strong>Requirements</strong></p><ul><li>Experienced real estate or architectural photography background</li><li>Reliable transportation and ability to work field assignments in Oregon</li><li>Strong attention to detail for on-site capture and upload workflows</li><li>Comfort with part-time schedule and local market travel</li><li>Professional equipment suitable for real estate media production</li></ul><br /><p><strong>Compensation</strong><br />Hourly pay ranges by state; Oregon roles typically align with published Zillow Media Experts hourly bands (approximately $23–$38/hr depending on location).</p><br /><p><strong>Location</strong><br />Remote.</p></div>","","Photography,Real Estate Media,Zillow,Part-time,Field Remote","Real estate photography,Video capture,3D floor plans,Media upload,On-location production","https://zillow.wd5.myworkdayjobs.com/Zillow_Group_External/job/Remote-OR/Photographer--Zillow-Media-Experts_P750283-2?source=LinkedIn","","","Remote","","Remote","","","","","Zillow","https://www.zillow.com","https://www.google.com/s2/favicons?domain=www.zillow.com&sz=256","","23","38","USD","hour","false","","","https://zillow.wd5.myworkdayjobs.com/Zillow_Group_External/job/Remote-OR/Photographer--Zillow-Media-Experts_P750283-2?source=LinkedIn","2026-06-04T12:00:00.000Z"
"Video Editor","Full-time","<div><p><strong>About the Company</strong><br />Charlotte Party Rentals is a leading tent and event solutions company in the Carolinas, specializing in professionally installed setups for corporate and construction events since 2006.</p><br /><p><strong>About the Role</strong><br />Charlotte Party Rentals is seeking a skilled Video Editor for a full-time remote role. You will edit video materials, create motion graphics, color grade footage, and collaborate with marketing to produce compelling brand content.</p><br /><p><strong>Responsibilities</strong></p><ul><li>Edit video materials and assist in production of high-quality visuals</li><li>Create motion graphics and color grade footage</li><li>Collaborate with marketing and creative teams on brand-aligned content</li><li>Develop engaging visuals that reflect company values</li><li>Meet deadlines efficiently in a remote workflow</li></ul><br /><p><strong>Requirements</strong></p><ul><li>Proficiency in video editing and video production</li><li>Experience in video color grading and motion graphics</li><li>Familiarity with graphics tools and visual storytelling</li><li>Knowledge of Adobe Premiere Pro, Final Cut Pro, or similar</li><li>Ability to work independently remotely; marketing/event video experience is a plus</li></ul><br /><p><strong>Location</strong><br />Remote.</p></div>","","Video Editing,Motion Graphics,Color Grading,Events,Remote","Adobe Premiere Pro,Final Cut Pro,Motion graphics,Color grading,Marketing video","https://www.linkedin.com/jobs/view/4423264832/","","","Remote","","Remote","","","","","Charlotte Party Rentals","https://www.charlottepartyrentals.com","https://www.google.com/s2/favicons?domain=www.charlottepartyrentals.com&sz=256","","","","","","false","","","https://www.linkedin.com/jobs/view/4423264832/","2026-06-04T12:00:00.000Z"
"Video Editor","Full-time","<div><p><strong>About the Company</strong><br />Kika Marketing & Communications is a creative and communications agency delivering marketing content and video production for brand clients.</p><br /><p><strong>About the Role</strong><br />Kika Marketing & Communications is hiring a Video Editor for a remote role based in India. The position focuses on editing and finishing marketing video content to brand and client standards.</p><br /><p><strong>Responsibilities</strong></p><ul><li>Edit marketing and communications video content for client deliverables</li><li>Collaborate with creative and account teams on revisions and approvals</li><li>Maintain organized project files and delivery formats</li><li>Support fast-turn social and campaign video needs</li><li>Ensure final exports meet platform and brand specifications</li></ul><br /><p><strong>Requirements</strong></p><ul><li>Strong video editing experience with a demonstrable portfolio</li><li>Proficiency with professional editing tools (e.g., Premiere Pro or similar)</li><li>Attention to detail and clear remote communication</li><li>Ability to manage deadlines across multiple projects</li><li>Eligible to work remotely from India</li></ul><br /><p><strong>Location</strong><br />Remote.</p></div>","","Video Editing,Marketing,Remote India,Kika,Communications","Video editing,Adobe Premiere,Post-production,Storytelling,Remote collaboration","https://in.indeed.com/viewjob?jk=08094f26081ddc6f&from=shareddesktop_copy","","","Remote","","Remote","","","","","Kika Marketing & Communications","https://thekika.com","https://www.google.com/s2/favicons?domain=thekika.com&sz=256","","","","","","false","","","https://in.indeed.com/viewjob?jk=08094f26081ddc6f&from=shareddesktop_copy","2026-06-04T12:00:00.000Z"
"Illustrator","Full-time","<div><p><strong>About the Company</strong><br />Gecko Programmes Ltd delivers training and creative programme services, combining customer-facing support with creative production needs.</p><br /><p><strong>About the Role</strong><br />Gecko Programmes is hiring an Illustrator and Customer Service Associate for a remote role. The position blends illustration deliverables with customer support responsibilities in a distributed team environment.</p><br /><p><strong>Responsibilities</strong></p><ul><li>Create illustration assets aligned with programme and client needs</li><li>Provide customer service support alongside creative deliverables</li><li>Collaborate remotely with programme coordinators and stakeholders</li><li>Maintain quality standards for visual outputs and communications</li><li>Manage tasks and deadlines in a remote workflow</li></ul><br /><p><strong>Requirements</strong></p><ul><li>Demonstrated illustration skills with a relevant portfolio</li><li>Strong written communication for customer-facing work</li><li>Comfort working remotely with cross-functional teams</li><li>Organized, dependable, and detail-oriented</li><li>Experience with digital illustration tools</li></ul><br /><p><strong>Location</strong><br />Remote.</p></div>","","Illustration,Remote,Customer Service,Creative","Illustration,Adobe Illustrator,Client communication,Remote work","https://in.indeed.com/viewjob?jk=d18af0df4afb97e9&from=shareddesktop_copy","","","Remote","","Remote","","","","","Gecko Programmes","https://www.geckoprogrammes.co.uk","https://www.google.com/s2/favicons?domain=www.geckoprogrammes.co.uk&sz=256","","","","","","false","","","https://in.indeed.com/viewjob?jk=d18af0df4afb97e9&from=shareddesktop_copy","2026-06-04T12:00:00.000Z"
"3D Artist","Full-time","<div><p><strong>About the Company</strong><br />vyom is hiring creative talent for remote 3D production work supporting visual and digital deliverables.</p><br /><p><strong>About the Role</strong><br />vyom is seeking a 3D Artist for a remote role. The artist will produce 3D assets and visuals for creative projects, collaborating asynchronously with the production team.</p><br /><p><strong>Responsibilities</strong></p><ul><li>Create 3D models, textures, and renders for assigned projects</li><li>Iterate on creative direction and feedback remotely</li><li>Prepare assets for downstream animation or compositing when needed</li><li>Maintain organized project files and naming conventions</li><li>Meet project milestones in a remote production environment</li></ul><br /><p><strong>Requirements</strong></p><ul><li>Portfolio demonstrating strong 3D modeling and rendering</li><li>Proficiency with industry-standard 3D tools</li><li>Ability to take creative direction and work independently</li><li>Clear communication in a remote team</li><li>Attention to detail on asset quality and delivery specs</li></ul><br /><p><strong>Location</strong><br />Remote.</p></div>","","3D Artist,Modeling,Remote,Animation,Visual Design","3D modeling,Texturing,Rendering,Blender or Maya,Creative production","https://in.indeed.com/viewjob?jk=72dd6f1996f7760a&from=shareddesktop_copy","","","Remote","","Remote","","","","","vyom","https://www.linkedin.com","https://www.google.com/s2/favicons?domain=www.linkedin.com&sz=256","","","","","","false","","","https://in.indeed.com/viewjob?jk=72dd6f1996f7760a&from=shareddesktop_copy","2026-06-04T12:00:00.000Z"
"Illustrator","Full-time","<div><p><strong>About the Company</strong><br />Ludere Studios is a creative studio focused on illustration asset production for games and digital products.</p><br /><p><strong>About the Role</strong><br />Ludere Studios is opening a full-time remote Illustrator opportunity for artists to join the team producing illustration assets. Applications are accepted via the studio application link.</p><br /><p><strong>Responsibilities</strong></p><ul><li>Create illustration assets for studio projects</li><li>Collaborate with art direction on style and deliverable specs</li><li>Iterate on feedback and maintain consistent quality</li><li>Meet production schedules in a remote team environment</li><li>Support asset pipelines for game or digital product needs</li></ul><br /><p><strong>Requirements</strong></p><ul><li>Strong illustration portfolio relevant to production work</li><li>Ability to work full-time remotely</li><li>Clear communication and reliable delivery habits</li><li>Comfort collaborating with a distributed creative team</li><li>Apply through the official Ludere Studios application link</li></ul><br /><p><strong>Location</strong><br />Remote.</p></div>","","Illustration,Remote,Full-time,Creative Studio,Indonesia","Illustration,Asset production,Visual development,Remote collaboration","https://www.instagram.com/p/DZExDyHSMoJ/?igsh=MXE2MWo3ZDQ5anZrMQ==","","","Remote","","Remote","","","","","Ludere Studios","https://www.instagram.com/ludere.studios/","https://www.google.com/s2/favicons?domain=www.instagram.com&sz=256","","","","","","false","","","https://www.instagram.com/p/DZExDyHSMoJ/?igsh=MXE2MWo3ZDQ5anZrMQ==","2026-06-04T12:00:00.000Z"
"Digital Designer","Full-time","<div><p><strong>About the Company</strong><br />Edition Studios creates high-end marketing and digital experiences for luxury real estate, hospitality, fashion, aviation, healthcare, and lifestyle brands.</p><br /><p><strong>About the Role</strong><br />Edition Studios is seeking a Digital Designer (remote) to execute premium marketing assets across social, email, web, and advertising, with opportunities to collaborate on larger website and brand identity work.</p><br /><p><strong>Responsibilities</strong></p><ul><li>Design social media content and campaign creative</li><li>Create email marketing campaigns and templates</li><li>Design landing pages and website content updates</li><li>Develop digital advertising creative across channels</li><li>Collaborate with strategists, account managers, and developers</li><li>Support website design through page design, UI components, and content modules</li></ul><br /><p><strong>Requirements</strong></p><ul><li>3+ years of professional design experience</li><li>Strong portfolio featuring digital marketing, social, email, and web work</li><li>Proficiency in Figma and Adobe Creative Suite</li><li>Strong typography, layout, and visual storytelling skills</li><li>Excellent communication and ability to manage multiple deadlines</li></ul><br /><p><strong>Location</strong><br />Remote.</p></div>","","Digital Design,Luxury Brands,Remote,Marketing,Web Design","Figma,Adobe Creative Suite,Social media design,Email design,Web design","https://editionstudios.com/jobs/digital-designer-remote/","careers@editionstudios.com","","Remote","","Remote","","","","","Edition Studios","https://editionstudios.com","https://www.google.com/s2/favicons?domain=editionstudios.com&sz=256","careers@editionstudios.com","","","","","true","","","","2026-06-04T12:00:00.000Z"
