title,jobLink
"Fancy yourself a production designer, eh?",https://www.foxfuelcreative.com/careers/production-designer/
Product & Design Teams,https://asana.com/jobs/product
Design Engineer,https://bejamas.com/careers/design-engineer-x3mbzomt96
Content Marketing Manager,https://job-boards.eu.greenhouse.io/bitly/jobs/4780326101
Staff Product Designer,https://blackairplane.com/careers/staff-product-designer
UI/UX Designer Jr.,https://buzzvel.com/careers/ui-ux-designer
Senior Program Manager,https://adobe.wd5.myworkdayjobs.com/external_experienced/job/Noida/Senior-Program-Manager-Design-Ops_R162951/apply
Product Designer,https://adobe.wd5.myworkdayjobs.com/external_experienced/job/Austin/Product-Designer_R162778/apply
Sr Designer Monetization Platform,https://adobe.wd5.myworkdayjobs.com/external_experienced/job/San-Francisco/Sr-Designer--Monetization-Platform_R163348-1/apply
"Product Designer, Content Authenticity",https://adobe.wd5.myworkdayjobs.com/external_experienced/job/New-York/Product-Designer--Content-Authenticity_R163221/apply
"Adjunct in Art and Design, Fine & Performing Arts",https://careers.arteducators.org/jobs/22037771
"Adjunct in Art and Design, Fine & Performing Arts",https://careers.arteducators.org/jobs/22037771/adjunct-in-art-and-design-fine-performing-arts
Department of Art & Design  Part,https://careers.arteducators.org/jobs/21742231/department-of-art-design-art-history-art-education-part-time-lecturer-pool
Partner Content,https://careers.coursera.com/jobs/partner-content-growth-account-manager-india-65960775-4de9-455c-8abe-7c87c5902738
Partner Content,https://careers.coursera.com/jobs/partner-content-associate-growth-account-manager-india
Staff Product Designer,https://careers.coursera.com/jobs/staff-product-designer-canada-3b4b63e3-bda7-4576-bba4-67df540dc727
"Director, Product Design",https://careers.coursera.com/jobs/director-product-design-india
Senior Staff Software Engineer,https://careers.coursera.com/jobs/senior-staff-software-engineer-learning-content-experience-united-states
Senior Product Writer,https://careers.duolingo.com/jobs/8378588002?gh_jid=8378588002
Senior Product Writer,https://careers.duolingo.com/jobs/8378704002?gh_jid=8378704002
Senior Product Design Manager,https://careers.duolingo.com/jobs/8385193002?gh_jid=8385193002
Senior Product Design Manager,https://careers.duolingo.com/jobs/8385195002?gh_jid=8385195002
Senior Product Designer,https://careers.duolingo.com/jobs/8402493002?gh_jid=8402493002
