"title","jobType","description","deadline","keywords","skills","jobLink","workEmail","numberOfPositions","workType","formattedAddress","city","state","country","latitude","longitude","company","companyWebsite","companyLogo","companyEmail","salaryMin","salaryMax","salaryCurrency","salaryPeriod","allowEmailApplications","hiringTeam","screeningQuestions","job.visibility.allowedLocations"
"3D Character Art Lead","Full-time","<div><p><strong>About the Company</strong><br />teamLFG (Sony Interactive Entertainment) is building an innovative new PlayStation IP with a passionate cross-discipline team focused on memorable characters and gameplay clarity.</p><p><br /></p><p><strong>About the Role</strong><br />teamLFG is hiring a remote 3D Character Art Lead to guide character art from pre-production through production, mentor artists, and shape stylized characters that support fair, readable gameplay.</p><p><br /></p><p><strong>Responsibilities</strong></p><p><br /></p><ul><li>Lead 3D character art and coordinate with narrative, design, and partner studios</li><li>Mentor artists through all production phases and foster strong creative feedback culture</li><li>Build scalable workflows, style guides, and quality standards for character assets</li><li>Partner with the art director on visual goals and character customization systems</li></ul><p><br /></p><p><strong>Requirements</strong></p><p><br /></p><ul><li>Deep understanding of character art for competitive action or fighting games</li><li>Early AAA game development leadership experience</li><li>Expert Maya/Blender/Max, Substance, and Unreal Engine skills</li><li>Stylized art expertise and experience scaling content with outsourcing partners</li></ul><p><br /></p><p><strong>Compensation</strong><br />$153,000 - $230,000 USD per year (varies by location; bonus and benefits eligible).</p><p><br /></p><p><strong>Location</strong><br />Remote.</p></div>","","3D Character Art,Game Art,Unreal Engine,Stylized Art,Leadership,Remote","3D character art,Maya,Blender,Substance,Unreal Engine,Character customization,AAA games","https://job-boards.greenhouse.io/teamlfg/jobs/5984590004","","","Remote","","Remote","","","","","teamLFG","https://teamlfg.com","https://www.google.com/s2/favicons?domain=teamlfg.com&sz=256","","153000","230000","USD","year","false","","","United States,US"
"Digital Fashion Illustrator","Full-time","<div><p><strong>About the Company</strong><br />Tailor Catalogue is a fashion-focused brand seeking creative talent for digital fashion illustration work.</p><p><br /></p><p><strong>About the Role</strong><br />Tailor Catalogue is hiring a creative Digital Fashion Illustrator for a fully remote role creating fashion illustration work. Interested applicants should share a portfolio and brief introduction.</p><p><br /></p><p><strong>Responsibilities</strong></p><p><br /></p><ul><li>Create digital fashion illustrations aligned with brand and campaign needs</li><li>Develop polished illustration assets for marketing and catalogue use</li><li>Collaborate remotely with the Tailor Catalogue team on creative direction</li><li>Deliver work on schedule with attention to detail and fashion aesthetics</li></ul><p><br /></p><p><strong>Requirements</strong></p><p><br /></p><ul><li>Strong portfolio demonstrating digital fashion illustration skills</li><li>Proficiency with digital illustration tools and workflows</li><li>Creative, detail-oriented approach and reliable remote communication</li><li>Ability to respond promptly to creative briefs and feedback</li></ul><p><br /></p><p><strong>Compensation</strong><br />₦150,000 per month.</p><p><br /></p><p><strong>Location</strong><br />Remote.</p></div>","","Fashion Illustration,Digital Illustration,Remote,Creative","Digital illustration,Fashion illustration,Adobe Illustrator,Creative direction","https://www.instagram.com/p/DZuFtYvIr7U/","","","Remote","","Remote","","","","","Tailor Catalogue","https://www.instagram.com/tailorcataloguepage","https://www.google.com/s2/favicons?domain=instagram.com&sz=256","","150000","150000","NGN","month","false","","","Nigeria"
"Freelance Illustrator","Freelance","<div><p><strong>About the Company</strong><br />Holistic Ecosystem is a creative team building anime-style art for stream-related graphics and inspiring visual projects.</p><p><br /></p><p><strong>About the Role</strong><br />Holistic Ecosystem is hiring a freelance, project-based Illustrator to create anime-style and chibi artwork for stream-related graphics and collaborative creative projects.</p><p><br /></p><p><strong>Responsibilities</strong></p><p><br /></p><ul><li>Create anime-style and chibi illustrations for stream-related graphics</li><li>Deliver project-based illustration work from brief through final assets</li><li>Collaborate with the creative team on fun, inspiring visual projects</li><li>Meet project deadlines and incorporate feedback efficiently</li></ul><p><br /></p><p><strong>Requirements</strong></p><p><br /></p><ul><li>Strong portfolio in anime-style illustration (chibi, vtuber, or background design a plus)</li><li>Experience with sketching, coloring, and detailing workflows</li><li>Ability to dedicate 2-8 hours per day depending on project scope</li><li>Portfolio link required (Google Drive, Pixiv, Instagram, ArtStation, or similar)</li></ul><p><br /></p><p><strong>Compensation</strong><br />Project-based freelance compensation determined per project based on complexity.</p><p><br /></p><p><strong>Location</strong><br />Remote.</p></div>","2026-07-30T23:59:59.000Z","Freelance Illustrator,Anime,Chibi,Stream Graphics,Remote","Anime illustration,Chibi art,Character design,Stream graphics,Digital illustration","https://bit.ly/freelanceArtist","","","Remote","","Remote","","","","","Holistic Ecosystem","https://www.instagram.com/holisticecosystem","https://www.google.com/s2/favicons?domain=instagram.com&sz=256","","","","","","false","","","Indonesia"
"Illustrator Intern","Internship","<div><p><strong>About the Company</strong><br />Readeezy is a non-profit, fully digital library for adolescent, teen, and young adult struggling readers, publishing illustrated, interactive stories at accessible reading levels.</p><p><br /></p><p><strong>About the Role</strong><br />Readeezy is hiring an Illustrator Intern to develop rich illustrations and simple animations for a 3,500-4,000 word story (40-50 pages), from character design and drafts through cover art, working closely with staff and authors.</p><p><br /></p><p><strong>Responsibilities</strong></p><p><br /></p><ul><li>Illustrate an entire book: 40-50 illustrations and 5-6 simple animations</li><li>Develop character profiles, sketches, drafts, and cover art</li><li>Collaborate with the author and Readeezy editorial staff</li><li>Attend weekly Zoom check-in meetings and follow the production schedule</li></ul><p><br /></p><p><strong>Requirements</strong></p><p><br /></p><ul><li>Major in Illustration or related visual arts field and/or portfolio of digital character and background work</li><li>Proficient in digital drawing software and graphics tablet</li><li>Willing to illustrate mature-looking teen and collegiate-level characters and lively backgrounds</li><li>Strong communication, organization, and time management; up to 20 hours/week availability</li><li>Letter of recommendation required with application</li></ul><p><br /></p><p><strong>Compensation</strong><br />Unpaid internship with published portfolio credit and website feature.</p><p><br /></p><p><strong>Location</strong><br />Remote.</p></div>","","Illustrator Intern,Book Illustration,Character Design,Animation,Remote","Digital illustration,Character design,Visual storytelling,Animation,Google Drive","https://www.linkedin.com/jobs/view/4431874303/","","","Remote","","Remote","","","","","Readeezy","https://readeezy.com","https://www.google.com/s2/favicons?domain=readeezy.com&sz=256","","","","","","false","","",""
"Graphic Illustrator","Full-time","<div><p><strong>About the Company</strong><br />Exela Publishing House LLP creates educational books and workbooks for kindergarten, primary, and middle school students.</p><p><br /></p><p><strong>About the Role</strong><br />Exela Publishing House is hiring a remote Graphic Illustrator / Book Designer to design and illustrate engaging educational books, from page layouts and characters to print-ready files.</p><p><br /></p><p><strong>Responsibilities</strong></p><p><br /></p><ul><li>Create engaging illustrations for educational books and workbooks</li><li>Design visually appealing, age-appropriate page layouts</li><li>Develop characters, visual assets, infographics, and activity-based illustrations</li><li>Prepare print-ready files and maintain organized source files</li></ul><p><br /></p><p><strong>Requirements</strong></p><p><br /></p><ul><li>Proficiency in Adobe Illustrator, InDesign, Photoshop, or equivalent</li><li>Strong illustration and visual storytelling skills</li><li>Experience in book design, educational publishing, or children's publishing preferred</li><li>Good understanding of typography, page composition, and print production</li><li>Minimum 1 year of graphic design experience</li></ul><p><br /></p><p><strong>Compensation</strong><br />Competitive salary (work from home).</p><p><br /></p><p><strong>Location</strong><br />Remote.</p></div>","","Graphic Illustrator,Book Design,Educational Publishing,Remote","Adobe Illustrator,Adobe InDesign,Adobe Photoshop,Book illustration,Print production","https://internshala.com/job/detail/remote-graphic-illustrator-job-at-exela-publishing-house-llp1782199942","","","Remote","","Remote","","","","","Exela Publishing House LLP","https://exelapublishing.com","https://www.google.com/s2/favicons?domain=exelapublishing.com&sz=256","","","","","","false","","","India"
"Senior Meta Ads Designer","Freelance","<div><p><strong>About the Company</strong><br />ATTN Labs is a creative agency that helps brands cut through the noise with scroll-stopping content, sharp visual identities, and performance-driven creative across social and paid channels.</p><p><br /></p><p><strong>About the Role</strong><br />ATTN Labs is hiring a Senior Graphic Designer who lives and breathes social-first design to own visual output for client campaigns across Instagram, TikTok, Facebook, LinkedIn, and YouTube.</p><p><br /></p><p><strong>Responsibilities</strong></p><p><br /></p><ul><li>Concept and design high-performing paid ad graphics across multiple clients</li><li>Design across feed posts, stories, carousels, and display ad formats</li><li>Collaborate with strategists, editors, and account managers on briefs and deadlines</li><li>Adapt and resize assets quickly without sacrificing quality</li></ul><p><br /></p><p><strong>Requirements</strong></p><p><br /></p><ul><li>5+ years in graphic design with a strong social and digital ad portfolio</li><li>Expert Adobe Creative Suite and Figma skills</li><li>Strong understanding of platform specs and performance creative</li><li>Self-starter mentality and strong English communication</li></ul><p><br /></p><p><strong>Location</strong><br />Remote.</p></div>","","Meta Ads,Paid Social,Graphic Design,Performance Creative,Remote","Adobe Photoshop,Adobe Illustrator,Figma,Paid social,Performance creative","https://dribbble.com/jobs/305390-Senior-Meta-Ads-Designer","","","Remote","","Remote","","","","","ATTN Labs","https://attnlabs.com","https://www.google.com/s2/favicons?domain=attnlabs.com&sz=256","","","","","","false","","",""
"Senior Motion Designer","Full-time","<div><p><strong>About the Company</strong><br />Bone Studio is a design, product, and motion studio working with fast-moving teams across fintech, AI, and Web3 to turn complex ideas into clear, beautiful experiences.</p><p><br /></p><p><strong>About the Role</strong><br />Bone Studio is hiring a senior motion designer to create launch content, product marketing assets, and brand animations for ambitious Web2 and Web3 clients.</p><p><br /></p><p><strong>Responsibilities</strong></p><p><br /></p><ul><li>Create high-quality motion across brand, product, and marketing projects</li><li>Develop launch content, social assets, and visual storytelling pieces</li><li>Collaborate with designers, founders, and marketing teams</li><li>Bring static designs to life through thoughtful animation and strong craft</li></ul><p><br /></p><p><strong>Requirements</strong></p><p><br /></p><ul><li>Strong motion design portfolio with exceptional craft</li><li>Advanced After Effects proficiency</li><li>Excellent animation, timing, and storytelling skills</li><li>Experience with technology, fintech, SaaS, or Web3 brands is a plus</li></ul><p><br /></p><p><strong>Location</strong><br />Remote.</p></div>","","Motion Design,After Effects,Brand Animation,Product Marketing,Remote","Motion design,After Effects,Animation,Visual storytelling,Launch content","https://dribbble.com/jobs/307865-Senior-Motion-Designer","","","Remote","","Remote","","","","","Bone Studio","https://bonestudio.co","https://www.google.com/s2/favicons?domain=bonestudio.co&sz=256","","","","","","false","","",""
"Associate Creative Director","Full-time","<div><p><strong>About the Company</strong><br />Weedmaps is a global cannabis marketplace and media brand helping consumers and businesses navigate legal cannabis with transparency and community.</p><p><br /></p><p><strong>About the Role</strong><br />Weedmaps is hiring a remote Associate Creative Director, Design to define and evolve the visual future of the brand across campaigns, social, editorial, lifecycle marketing, and product storytelling.</p><p><br /></p><p><strong>Responsibilities</strong></p><p><br /></p><ul><li>Lead visual creative development across brand campaigns and social-first content</li><li>Establish and evolve visual identity, design systems, and modular creative frameworks</li><li>Partner with Editorial, Social, Growth, and Product Marketing on strategic objectives</li><li>Mentor designers, freelancers, and production partners while maintaining craft standards</li></ul><p><br /></p><p><strong>Requirements</strong></p><p><br /></p><ul><li>8+ years in design, art direction, or creative leadership</li><li>Strong portfolio across campaigns, social content, and brand systems</li><li>Deep typography, layout, motion, and visual storytelling skills</li><li>Social-first and platform-native creative development experience</li></ul><p><br /></p><p><strong>Compensation</strong><br />$143,000 - $169,229 USD per year plus competitive bonus and benefits.</p><p><br /></p><p><strong>Location</strong><br />Remote.</p></div>","","Creative Director,Brand Design,Social-First,Campaigns,Remote","Art direction,Brand systems,Typography,Social creative,Design leadership","https://job-boards.greenhouse.io/weedmaps77/jobs/8603424002","","","Remote","","Remote","","","","","Weedmaps","https://weedmaps.com","https://www.google.com/s2/favicons?domain=weedmaps.com&sz=256","","143000","169229","USD","year","false","","",""
"Senior Motion Designer","Full-time","<div><p><strong>About the Company</strong><br />AlphaSense is a market-intelligence platform trusted by over 6,000 enterprise customers, delivering AI-driven insights from public and private content sets.</p><p><br /></p><p><strong>About the Role</strong><br />AlphaSense is hiring a Senior Motion Designer on the Brand & Creative team to define the visual language of the brand in motion, from product UI reveals to high-concept brand films, while building scalable AI-augmented workflows.</p><p><br /></p><p><strong>Responsibilities</strong></p><p><br /></p><ul><li>Create high-fidelity motion graphics for brand campaigns, product launches, and social</li><li>Design repeatable animation systems leveraging AI to reduce manual production work</li><li>Partner with Brand Leads on motion guidelines and global touchpoint consistency</li><li>Collaborate with Product Designers to translate Figma UI into marketing animations</li></ul><p><br /></p><p><strong>Requirements</strong></p><p><br /></p><ul><li>8+ years in motion graphics with a strong portfolio</li><li>Expert After Effects; familiarity with C4D/Blender and Figma</li><li>Deep SaaS and complex UI animation experience</li><li>Active experimentation with generative AI tools in a creative workflow</li></ul><p><br /></p><p><strong>Compensation</strong><br />$116,000 - $160,000 USD per year.</p><p><br /></p><p><strong>Location</strong><br />Remote.</p></div>","","Motion Design,After Effects,Brand,SaaS UI Animation,Remote","After Effects,C4D,Figma,Motion graphics,Product animation,AI workflows","https://job-boards.greenhouse.io/alphasense/jobs/8428179002","","","Remote","","Remote","","","","","AlphaSense","https://www.alpha-sense.com","https://www.google.com/s2/favicons?domain=alpha-sense.com&sz=256","","116000","160000","USD","year","false","","","United States,US"
"UI Designer","Freelance","<div><p><strong>About the Company</strong><br />NotifyAnyWhere LLC builds digital products and online properties requiring clean, responsive web design.</p><p><br /></p><p><strong>About the Role</strong><br />NotifyAnyWhere is hiring a remote UI Designer with excellent creative skills to design clean, valid, responsive websites, wireframes, interactive prototypes, and mockups.</p><p><br /></p><p><strong>Responsibilities</strong></p><p><br /></p><ul><li>Design responsive websites with wireframes, prototypes, and UI specifications</li><li>Define interaction models, user task flows, and cross-platform UI standards</li><li>Work in agile teams with remote collaborators</li><li>Manage design quality across online properties</li></ul><p><br /></p><p><strong>Requirements</strong></p><p><br /></p><ul><li>Minimum 4 years designing websites with a strong creative portfolio</li><li>Expert cross-browser and cross-platform design knowledge</li><li>Experience with responsive design and remote team collaboration</li></ul><p><br /></p><p><strong>Location</strong><br />Remote.</p></div>","","UI Design,Responsive Web,Wireframes,Prototypes,Remote","UI design,Responsive design,Wireframing,Prototyping,Web design","https://jobs.smartrecruiters.com/NotifyAnyWhere/743999652769611-ui-designer-remote","","","Remote","","Remote","","","","","NotifyAnyWhere","https://notifyanywhere.com","https://www.google.com/s2/favicons?domain=notifyanywhere.com&sz=256","","","","","","false","","",""
