"title","jobType","description","deadline","keywords","skills","jobLink","workEmail","numberOfPositions","workType","formattedAddress","city","state","country","latitude","longitude","company","companyWebsite","companyLogo","companyEmail","salaryMin","salaryMax","salaryCurrency","salaryPeriod","allowEmailApplications","hiringTeam","screeningQuestions",Status,Notes
"Illustrator","Part-time","<div><p><strong>About the Company</strong><br />Sam and Colby is a major creator brand building a merchandise line spanning apparel, plush, accessories, and jewelry for a large Gen Z / Gen Alpha audience.</p><br /><p><strong>About the Role</strong><br />Sam and Colby is hiring a remote Illustrator and Designer to drive ongoing merch development, primarily apparel (hoodies, tees), producing original illustrations from creative direction and adapting them to print-ready merchandise formats.</p><br /><p><strong>Responsibilities</strong></p><ul><li>Produce original illustrations from creative direction and mood references</li><li>Adapt artwork into print-ready apparel and merch formats</li><li>Iterate quickly through 2-3 feedback rounds</li><li>Expand the line into plush, accessories, and jewelry</li></ul><br /><p><strong>Requirements</strong></p><ul><li>Strong illustration skills and a relevant portfolio</li><li>Proficiency in Adobe Photoshop, Illustrator, and Procreate</li><li>Fast iteration and print-production file prep</li><li>A feel for Gen Z / Gen Alpha visual trends</li></ul><br /><p><strong>Compensation</strong><br />$6,000 per month (~20 hours/week), with a path to full-time.</p><br /><p><strong>Location</strong><br />Remote (US-based).</p></div>","","Illustrator,Apparel,Merch,Character Design,Brand","Illustration,Adobe Photoshop,Adobe Illustrator,Procreate,Apparel design,Print prep","https://dribbble.com/jobs/304697-Illustrator-and-Designer-apparel","","","Remote","","Remote","","","","","Sam and Colby","https://samandcolby.com","https://www.google.com/s2/favicons?domain=samandcolby.com&sz=256","","6000","6000","USD","month","false","","",PASS,"Title differs slightly (CSV: 'Illustrator' vs MD: 'Illustrator & Designer (Apparel)') but CSV description confirms the same apparel/merch designer role. Company, pay ($6,000/mo), remote status, and description all match."
"Medical Illustrator","Contract","<div><p><strong>About the Company</strong><br />Robert Half is the world's first and largest specialized talent solutions firm, placing finance, technology, marketing, legal, and creative professionals - including medical illustration - with leading academic, healthcare, and scientific organizations.</p><br /><p><strong>About the Role</strong><br />Robert Half is hiring a certified Medical Illustrator on a long-term contract to provide high-quality visual support for medical, scientific, and academic content, translating complex healthcare concepts into clear, accurate illustrations for publications, journals, digital platforms, and documentation. The role is fully remote with dependable communication during standard US business hours.</p><br /><p><strong>Responsibilities</strong></p><ul><li>Produce medically accurate illustrations for academic publications, journals, websites, and clinical or scientific documentation</li><li>Manage assigned projects from concept through final artwork while balancing overflow and newly initiated requests</li><li>Partner with faculty, department contacts, and creative stakeholders to understand subject matter and visual objectives</li><li>Apply institutional style and content standards, incorporating feedback through a structured quality-review process</li><li>Develop digital artwork across 2D, vector, and other appropriate visual formats and refine based on reviewer input</li></ul><br /><p><strong>Requirements</strong></p><ul><li>Certified Medical Illustrator credential required</li><li>At least 3 years creating medical or scientific illustrations</li><li>Strong portfolio of accurate, visually compelling healthcare-related illustration</li><li>Proficiency with Adobe Illustrator and Adobe Creative Cloud; digital, vector, and 2D illustration (3D a plus)</li><li>Ability to interpret complex medical information and work within detailed brand and quality-control guidelines</li></ul><br /><p><strong>Compensation</strong><br />$38-$44 per hour (long-term W2 contract via Robert Half).</p><br /><p><strong>Location</strong><br />Remote (US-based; applicants must be legally authorized to work in the United States).</p></div>","","Medical Illustrator,Scientific Illustration,Healthcare,Vector,Contract,Remote","Medical illustration,Scientific illustration,Adobe Illustrator,Adobe Creative Cloud,Vector art,2D illustration","https://www.linkedin.com/jobs/view/4427993041/","","","Remote","","Remote","","","","","Robert Half","https://www.roberthalf.com","https://www.google.com/s2/favicons?domain=roberthalf.com&sz=256","","38","44","USD","hour","false","","",REVIEW,"Title (Medical Illustrator), company (Robert Half), and salary ($38–$44/hr) all match. However, the live LinkedIn page lists the role as on-site in Houston, TX — not Remote as stated in the CSV workType. The description mentions 'supporting remote work with reliable communication' but the listing itself is classified as a location-based on-site contract. WorkType field is a mismatch: CSV says Remote, live page says On-site."
"Illustrator","Full-time","<div><p><strong>About the Company</strong><br />Creatiwise is a design and branding agency with partners worldwide, designing thoughtful digital experiences and beautiful brand aesthetics. The studio produces only original, handcrafted illustration - it does not accept AI-generated artwork.</p><br /><p><strong>About the Role</strong><br />Creatiwise is hiring a remote (work-from-home) Illustrator / all-rounder to lead the creation of high-quality, handcrafted illustrations, conceptualize visual ideas, guide creative direction, and maintain style consistency across projects in a fast-moving agency environment.</p><br /><p><strong>Responsibilities</strong></p><ul><li>Lead creation of high-quality, detailed original illustrations</li><li>Conceptualize visual ideas and guide creative direction</li><li>Oversee style consistency across projects</li><li>Mentor junior illustrators and review artwork</li><li>Collaborate with design, product, and marketing teams and handle complex briefs to polished final assets</li></ul><br /><p><strong>Requirements</strong></p><ul><li>1+ year (18+ months) of professional illustration experience</li><li>Advanced illustration and visual-storytelling skills with strong drawing fundamentals</li><li>Expertise with Adobe Photoshop, Illustrator, InDesign, CorelDRAW, Canva, and Lightroom</li><li>Strong creative vision, problem-solving, and project-management skills</li><li>Original handcrafted work only - no AI-generated artwork</li></ul><br /><p><strong>Compensation</strong><br />INR 2,40,000 - 5,00,000 per year.</p><br /><p><strong>Location</strong><br />Remote (work from home).</p></div>","2026-07-06T23:59:59.000Z","Illustrator,Visual Storytelling,Branding,Agency,Remote,Handcrafted","Illustration,Adobe Photoshop,Adobe Illustrator,Adobe InDesign,CorelDRAW,Canva,Lightroom","https://internshala.com/job/detail/remote-illustration-designer-all-rounder-job-at-creatiwise1780730779","","","Remote","","Remote","","","","","Creatiwise","https://creatiwise.com","https://www.google.com/s2/favicons?domain=creatiwise.com&sz=256","","240000","500000","INR","year","false","","",REVIEW,"Company (Creatiwise), salary (INR 240,000–500,000/year), and workType (Remote/Work From Home) all match. Minor title mismatch: CSV says 'Illustrator' but the live Internshala page title is 'Illustration Designer (All Rounder)'. Description content accurately reflects the live posting (handcrafted illustrations, no AI-generated art, mentoring junior illustrators). Flag title discrepancy for review."
"Illustrator","Freelance","<div><p><strong>About the Company</strong><br />Putumayo Digital Media is the long-running Putumayo World Music brand, releasing world-music compilations with a signature hand-painted, folk-art cover style.</p><br /><p><strong>About the Role</strong><br />Putumayo is hiring a freelance illustrator/painter to create original album-cover artwork for roughly 24 releases per year (work-for-hire), in a folk/naive/outsider-art aesthetic with culturally grounded, celebratory figurative imagery that reads at both streaming-thumbnail and full resolution.</p><br /><p><strong>Responsibilities</strong></p><ul><li>Create original hand-painted-style album covers (1-4 figures)</li><li>Deliver layered Photoshop files and animation-ready assets (Spotify Canvas, YouTube)</li><li>Match the brand's folk/naive/outsider-art aesthetic</li><li>Turn work around quickly and communicate independently</li></ul><br /><p><strong>Requirements</strong></p><ul><li>Strong folk/naive/figurative illustration or painting portfolio</li><li>Adobe Photoshop and layered PSD prep</li><li>Culturally grounded, celebratory imagery sensibility</li><li>No AI-generated work (human-made only)</li></ul><br /><p><strong>Compensation</strong><br />$800 per album cover (work-for-hire, approximately 24 covers per year).</p><br /><p><strong>Location</strong><br />Remote (worldwide).</p></div>","","Illustrator,Painter,Album Cover Art,World Music,Folk Art,Freelance","Folk/naive illustration,Hand-painted illustration,Adobe Photoshop,Figurative art,Animation-ready prep","https://dribbble.com/jobs/307700-Illustrator-or-Painter-for-Putumayo","","","Remote","","Remote","","","","","Putumayo Digital Media","https://www.putumayo.com","https://www.google.com/s2/favicons?domain=putumayo.com&sz=256","","800","800","USD","project","false","","",PASS,"Title differs slightly (CSV: 'Illustrator' vs MD: 'Illustrator or Painter') but description confirms the same Putumayo album-cover role. Company, pay ($800/project flat fee), remote, and description all match."
"Book Illustrator","Freelance","<div><p><strong>About the Company</strong><br />Reedsy is a global marketplace connecting authors with vetted publishing professionals, including designers and illustrators.</p><br /><p><strong>About the Role</strong><br />Reedsy is recruiting freelance book designers and illustrators whose remit spans cover design, interior layout, typography, illustration, and production management, collaborating directly with authors to deliver professional print and digital books.</p><br /><p><strong>Responsibilities</strong></p><ul><li>Design book covers and interior layouts</li><li>Produce illustration and typography for books</li><li>Manage production for print and digital formats</li><li>Collaborate directly with authors through the platform</li></ul><br /><p><strong>Requirements</strong></p><ul><li>3+ years of book design/illustration experience</li><li>Portfolio of 5+ published books</li><li>Strong typography, layout, and illustration skills</li><li>Comfortable working independently with clients</li></ul><br /><p><strong>Compensation</strong><br />Freelancer-set rates, with payments handled via the Reedsy platform.</p><br /><p><strong>Location</strong><br />Remote (worldwide).</p></div>","","Illustrator,Book Cover,Book Illustration,Interior Layout,Freelance,Publishing","Book cover design,Interior layout,Typography,Illustration,Production management","https://dribbble.com/jobs/307568-Freelance-Book-Designer-cover-interior","","","Remote","","Remote","","","","","Reedsy","https://reedsy.com","https://www.google.com/s2/favicons?domain=reedsy.com&sz=256","","","","","","false","","",PASS,"Title differs slightly (CSV: 'Book Illustrator' vs MD: 'Freelance Book Designer (cover/interior)') but description confirms the same Reedsy marketplace role covering covers, interior, and illustration. No salary in CSV matches MD 'unspecified'. Remote and description align."
"Senior Brand Designer","Full-time","<div><p><strong>About the Company</strong><br />Flex is an AI-native private bank for business owners, offering banking, credit, payments, and personal finance, at nine-figure annualized revenue.</p><br /><p><strong>About the Role</strong><br />Flex is hiring a Senior Brand Designer in a hands-on and strategic role owning creative across web, social, ads, and event design to build the brand and drive revenue and awareness.</p><br /><p><strong>Responsibilities</strong></p><ul><li>Own brand creative across web, social, ads, and event design</li><li>Design marketing creative that drives awareness and revenue</li><li>Partner across teams on a cohesive brand system</li><li>Produce video and motion assets as needed</li></ul><br /><p><strong>Requirements</strong></p><ul><li>3+ years of graphic design in a B2B high-growth environment</li><li>Strong cross-channel portfolio</li><li>Adobe Creative Suite and Figma fluency; video editing</li><li>AI-assisted design tools (e.g. Midjourney) a plus; motion/3D a plus</li></ul><br /><p><strong>Location</strong><br />Remote (USA).</p></div>","","Brand Design,Graphic Design,B2B,Fintech,Marketing Creative,Web Design","Adobe Creative Suite,Figma,Video editing,Web design,Social content,Ad design","https://jobs.lever.co/Flex/a9f66f08-3512-4400-869e-bfba7a900970","","","Remote","","Remote","","","","","Flex","https://flex.one","https://www.google.com/s2/favicons?domain=flex.one&sz=256","","","","","","false","","",PASS,"Title, company, remote status, and description all match. No salary in CSV aligns with MD 'Unspecified'. CSV description confirms Flex fintech brand designer role consistent with MD notes."
"Web Designer","Full-time","<div><p><strong>About the Company</strong><br />IvyPanda is a student-success platform connecting students with academic experts and providing self-study tools.</p><br /><p><strong>About the Role</strong><br />IvyPanda is hiring a remote Web Designer to create and edit content, design web-page layouts, update sites, define technical requirements, and establish design guidelines.</p><br /><p><strong>Responsibilities</strong></p><ul><li>Design web-page layouts and visual content</li><li>Create and update site content</li><li>Define technical requirements and establish design guidelines</li><li>Produce wireframes, prototypes, sitemaps, and user/process flows</li></ul><br /><p><strong>Requirements</strong></p><ul><li>Proven web-design experience with a strong graphic-design portfolio</li><li>Proficiency with prototyping, visual design, and wireframing tools</li><li>Layout and page-design skill</li><li>Agile/Scrum experience</li></ul><br /><p><strong>Location</strong><br />Remote (worldwide).</p></div>","","Web Designer,Visual Design,Wireframing,Prototyping,UX,EdTech","Web design,Layout,Visual design,Prototyping,Wireframing,User flows","https://jobs.smartrecruiters.com/IvyPanda/743999877585550-web-designer-remote-","","","Remote","","Remote","","","","","IvyPanda","https://ivypanda.com","https://www.google.com/s2/favicons?domain=ivypanda.com&sz=256","","","","","","false","","",PASS,"Title, company, remote status, and description all match. No salary in CSV aligns with MD 'Unspecified'. CSV description confirms IvyPanda web designer role consistent with MD."
"Graphic Designer","Part-time","<div><p><strong>About the Company</strong><br />ADG helps Western technology companies grow in China, supporting their marketing and go-to-market efforts.</p><br /><p><strong>About the Role</strong><br />ADG is hiring a part-time, on-call Graphic Designer to support its marketing team, producing B2B sales collateral, presentations, social media assets, and website assets, with potential to grow into a longer-term engagement.</p><br /><p><strong>Responsibilities</strong></p><ul><li>Produce B2B sales collateral and presentations</li><li>Create social media and website assets</li><li>Iterate quickly against marketing needs</li><li>Collaborate with the marketing team remotely</li></ul><br /><p><strong>Requirements</strong></p><ul><li>Exceptional design sense and speed</li><li>Strong portfolio (B2B / website work a plus)</li><li>Clear communication</li><li>Flexible, on-call availability</li></ul><br /><p><strong>Location</strong><br />Remote.</p></div>","","Graphic Design,Marketing Design,B2B,Part-Time","Graphic design,B2B collateral,Presentations,Social media assets,Website assets","https://jobs.smartrecruiters.com/ADG1/743999718238878-graphic-designer-remote-part-time","","","Remote","","Remote","","","","","ADG","https://jobs.smartrecruiters.com/ADG1","https://www.google.com/s2/favicons?domain=smartrecruiters.com&sz=256","","","","","","false","","",REVIEW,"MD company is listed as 'ADG1' but CSV company is 'ADG' — minor discrepancy, likely a typo in MD but worth confirming. All other fields (title, remote, no salary, description content) match."
"Graphic Designer","Contract","<div><p><strong>About the Company</strong><br />Signit is a fast-growing Saudi SaaS startup building e-signature, digital-agreement, and identity-verification infrastructure.</p><br /><p><strong>About the Role</strong><br />Signit is hiring a remote Graphic Designer to shape and maintain its brand identity, creating assets for social media, web, apps, and campaigns, plus illustrations, logos, icons, and motion graphics tailored to the Saudi market.</p><br /><p><strong>Responsibilities</strong></p><ul><li>Design social media, web, app, and campaign assets</li><li>Create illustrations, logos, and icons</li><li>Produce motion graphics and animation</li><li>Maintain and evolve the brand identity</li></ul><br /><p><strong>Requirements</strong></p><ul><li>Proven graphic-design track record with a strong portfolio</li><li>Adobe Creative Suite (Illustrator, Photoshop, InDesign, After Effects)</li><li>Branding and motion-graphics skills</li><li>Digital marketing and social content sensibility</li></ul><br /><p><strong>Location</strong><br />Remote.</p></div>","","Graphic Design,Brand Identity,Motion Graphics,Social Media,Digital Marketing","Adobe Creative Suite,Branding,Logos,Motion graphics,Social media content","https://jobs.smartrecruiters.com/JobsForHumanity/744000103256569-graphic-designer-remote","","","Remote","","Remote","","","","","Signit","https://signit.sa","https://www.google.com/s2/favicons?domain=signit.sa&sz=256","","","","","","false","","",PASS,"CSV company is 'Signit' while MD shows 'Signit (via JobsForHumanity)' — this is a minor formatting difference, not a mismatch. Title, remote, no salary, and description (Saudi SaaS e-signature brand designer) all align."
"Graphic Designer","Contract","<div><p><strong>About the Company</strong><br />Idexcel is a global staffing and IT-services firm placing creative talent with enterprise clients.</p><br /><p><strong>About the Role</strong><br />Idexcel is hiring a Senior Graphic Designer on a 6-month W2 contract to serve as the primary designer on complex print and digital communication projects, organizing messaging to business objectives and upholding visual-identity and brand standards.</p><br /><p><strong>Responsibilities</strong></p><ul><li>Lead complex print and digital communication projects</li><li>Organize messaging to business objectives</li><li>Uphold visual-identity and brand standards</li><li>Deliver multimedia, print, and digital production</li></ul><br /><p><strong>Requirements</strong></p><ul><li>Expert multimedia, print, and digital production skills</li><li>Hands-on Adobe Creative Suite proficiency</li><li>Graphic-design degree or 3+ years corporate design experience</li><li>Strong cross-industry portfolio (role excludes UX/UI focus)</li></ul><br /><p><strong>Compensation</strong><br />6-month W2 contract (rate set by employer).</p><br /><p><strong>Location</strong><br />Remote (or NYC / Charlotte, NC / Iselin, NJ).</p></div>","","Graphic Design,Corporate Design,Print,Digital,Contract","Adobe Creative Suite,Multimedia design,Print production,Typography,Layout,Brand identity","https://jobs.smartrecruiters.com/Idexcel3/85440147-mktg-designer-senior-graphic-designer","","","Remote","","Remote","","","","","Idexcel","https://www.idexcel.com","https://www.google.com/s2/favicons?domain=idexcel.com&sz=256","","","","","","false","","",REVIEW,"CSV title is 'Graphic Designer' but MD title is 'Senior Graphic Designer' — minor but the seniority level is a meaningful detail. CSV workType is 'Remote' while MD flags '⚠️ Remote with conditions' (EST only, physical offices listed); the CSV does not capture the conditional nature of the remote arrangement."
