uid,jobUid,title,description,jobType,deadline,createdAt,date_posted,externalApplicationLink,jobLink,company,companyWebsite,companyLogo,companyEmail,city,state,country,locationName,formattedAddress,placeId,latitude,longitude,workType,salaryMin,salaryMax,salaryCurrency,salaryPeriod,keywords,skills,hiringTeam,workEmail,numberOfPositions,screeningQuestions,allowEmailApplications,job.visibility.allowedLocations,review_status,review_notes
,,Illustrator,"Astound US is launching an open call for freelance picture book illustrators and represents artists working with top publishers worldwide. The agency focuses on bold, contemporary children's illustration and long-term artist support.

We're looking for picture book illustrators with publishing-ready portfolios, confident draftsmanship, strong characterisation, rich storytelling, and a distinctive personal voice. Traditional-leaning styles, expressive world-building, and humour are especially welcome.

Submit a short introduction plus five to ten images or a portfolio link to hello@itsmegroup.com. No CV is required. This is a remote freelance opportunity to build a long-term creative career with an internationally recognised illustration agency.",FREELANCE,2026-07-27T14:50:12.000Z,2026-06-02T09:10:03.000Z,2026-06-02T09:10:03.000Z,https://www.linkedin.com/jobs/view/illustrator-at-astound-us-inc-4417652457,https://www.linkedin.com/jobs/view/illustrator-at-astound-us-inc-4417652457,Astound US Inc,https://www.astound.com,https://www.google.com/s2/favicons?domain=www.astound.com&sz=128,,New York,United States,US,"New York, United States","New York, United States, US",,,,REMOTE,60,60,USD,HOURLY,"illustrator,illustration,remote","Adobe Illustrator,digital illustration,visual storytelling",,,1,,FALSE,,PASS,
,,"Medical Illustrator, Science Lead (Contractor)","Description About BioDigital, a division of Anatomage BioDigital, a division of Anatomage, operates the largest cloud platform for interactive 3D visualization of human anatomy, conditions, and procedures. Our immersive technology is used globally by patients, educators, and healthcare professionals as an engaging way to understand health and medicine.

About the Role We are seeking a Medical Illustrator / Science Lead contractor with a strong background in medical illustration and hands-on experience in immersive media production to lead the scientific direction of a portfolio of active healthcare education projects. You’ll work across a range of experiences—including procedural training, mixed reality simulations, multi-user environments, and web-based anatomy education—supporting clients such as medical device companies, surgical training programs, and pharmaceutical brands. You’ll inherit a well-documented portfolio of active work with a structured knowledge transfer, allowing you to step right in and produce.

About the Role We are seeking a Medical Illustrator / Science Lead contractor with a strong background in medical illustration and hands-on experience in immersive media production to lead the scientific direction of a portfolio of active healthcare education projects. In this role, you will own projects from early scoping through final delivery, guiding cross-functional teams while ensuring scientific accuracy, clinical relevance, and production feasibility. You’ll work across a range of experiences—including procedural training, mixed reality simulations, multi-user environments, and web-based anatomy education—supporting clients such as medical device companies, surgical training programs, and pharmaceutical brands. You’ll inherit a well-documented portfolio of active work with a structured knowledge transfer, allowing you to step right in and produce.",FREELANCE,2026-07-02T23:53:53.000Z,2026-06-02T23:53:53.000Z,2026-06-02T23:53:53.000Z,https://www.linkedin.com/jobs/view/medical-illustrator-science-lead-contractor-at-biodigital-4424012205,https://www.linkedin.com/jobs/view/medical-illustrator-science-lead-contractor-at-biodigital-4424012205,BioDigital,https://www.biodigital.com,https://www.google.com/s2/favicons?domain=www.biodigital.com&sz=128,,New York,United States,US,"New York, United States","New York, United States, US",,,,REMOTE,45,75,USD,HOURLY,"illustrator,illustration,remote","Adobe Illustrator,digital illustration,visual storytelling",,,1,,FALSE,,PASS,
,,Adobe Specialist (Illustrator) | $70/hr Remote,"Collaborate with the customer's team to identify training needs and ensure alignment with organizational goals. Have strong organizational and time management skills, with attention to detail in all training materials. This is a remote role in New York, NY, United States.

Assess learners’ proficiency, provide constructive feedback, and adapt training methods for optimal results. Requirements Have demonstrated expertise in Adobe Illustrator, with solid experience utilizing AI-driven features and tools. Possess mid-level proficiency in Illustrator, capable of teaching both foundational and advanced concepts. Pay is USD70 per hour.

Position: Adobe Specialist (Illustrator) Type: Contractor Compensation: $21 - $70/hour Location: Remote Role Responsibilities Design, develop, and deliver comprehensive training programs on Adobe Illustrator with a focus on AI-powered features and workflows. Create engaging training materials, tutorials, and documentation to support ongoing learner development. Stay updated with the latest Illustrator updates and AI advancements, integrating them into training content. Collaborate with the customer's team to identify training needs and ensure alignment with organizational goals.",FREELANCE,,,,https://www.linkedin.com/jobs/view/adobe-specialist-illustrator-%2470-hr-remote-at-crossing-hurdles-4402894251,https://www.linkedin.com/jobs/view/adobe-specialist-illustrator-%2470-hr-remote-at-crossing-hurdles-4402894251,Crossing Hurdles,https://www.crossinghurdles.com,https://www.google.com/s2/favicons?domain=www.crossinghurdles.com&sz=128,,New York,NY,United States,"New York, NY","New York, NY, United States",,,,REMOTE,70,70,USD,HOURLY,"illustrator,illustration,remote","Adobe Illustrator,digital illustration,visual storytelling",,,1,,FALSE,,PASS,
,,Adobe Illustrator Instructor | $70/hr Remote,"Collaborate with the customer's team to identify training needs and ensure alignment with organizational goals. Have strong organizational and time management skills, with attention to detail in all training materials. This is a remote role in New York, NY, United States.

Assess learners’ proficiency, provide constructive feedback, and adapt training methods for optimal results. Requirements Have demonstrated expertise in Adobe Illustrator, with solid experience utilizing AI-driven features and tools. Possess mid-level proficiency in Illustrator, capable of teaching both foundational and advanced concepts. Pay is USD70 per hour.

Position: Adobe Specialist (Illustrator) Type: Contractor Compensation: $21 - $70/hour Location: Remote Role Responsibilities Design, develop, and deliver comprehensive training programs on Adobe Illustrator with a focus on AI-powered features and workflows. Create engaging training materials, tutorials, and documentation to support ongoing learner development. Stay updated with the latest Illustrator updates and AI advancements, integrating them into training content. Collaborate with the customer's team to identify training needs and ensure alignment with organizational goals.",FREELANCE,,,,https://www.linkedin.com/jobs/view/adobe-illustrator-instructor-%2470-hr-remote-at-crossing-hurdles-4402897436,https://www.linkedin.com/jobs/view/adobe-illustrator-instructor-%2470-hr-remote-at-crossing-hurdles-4402897436,Crossing Hurdles,https://www.crossinghurdles.com,https://www.google.com/s2/favicons?domain=www.crossinghurdles.com&sz=128,,New York,NY,United States,"New York, NY","New York, NY, United States",,,,REMOTE,70,70,USD,HOURLY,"illustrator,illustration,remote","Adobe Illustrator,digital illustration,visual storytelling",,,1,,FALSE,,PASS,
,,Digital Artist | $98/hr - Remote,"Interest in working at the intersection of art and AI technologies. This is a remote role in New York, NY, United States.

Maintain and update a professional portfolio showcasing diverse artistic styles. Requirements Strong experience in fine arts, illustration, painting, sculpture, or related fields. Proficiency with traditional and digital art tools, including design software. Pay is USD98 per hour.

Position: Fine Artist, Including Painter, Sculptor, or Illustrator Type: Hourly contract Compensation: $49 - $98/hour Location: Remote Commitment: 10 40 hours/week Role Responsibilities Create and curate original artwork using traditional and digital techniques. Apply visual elements such as color, composition, and perspective to support AI training. Collaborate with cross-functional teams to define artistic objectives and deliverables. Support AI-driven creative initiatives and contribute to visual content development.",FREELANCE,,,,https://www.linkedin.com/jobs/view/digital-artist-%2498-hr-remote-at-crossing-hurdles-4405750009,https://www.linkedin.com/jobs/view/digital-artist-%2498-hr-remote-at-crossing-hurdles-4405750009,Crossing Hurdles,https://www.crossinghurdles.com,https://www.google.com/s2/favicons?domain=www.crossinghurdles.com&sz=128,,New York,NY,United States,"New York, NY","New York, NY, United States",,,,REMOTE,98,98,USD,HOURLY,"illustrator,illustration,remote","Adobe Illustrator,digital illustration,visual storytelling",,,1,,FALSE,,REJECT,Rule 1 fail — role is AI training data work (applying visual elements for AI training) same pattern as DataAnnotation.
,,AI Design Illustrator UI/UX Critique (Remote),"A tech-focused design firm is seeking an Illustrator to enhance AI models by reviewing and critiquing UI/UX designs. This remote position invites you to evaluate AI outputs and teach models about aesthetic quality.

A tech-focused design firm is seeking an Illustrator to enhance AI models by reviewing and critiquing UI/UX designs. Candidates should have a background in design, be fluent in English, and understand design principles. View job details, responsibilities, qualifications, and similar openings on Mediabistro.

A tech-focused design firm is seeking an Illustrator to enhance AI models by reviewing and critiquing UI/UX designs. Candidates should have a background in design, be fluent in English, and understand design principles. The role is part-time or full-time with competitive pay starting at $20/hr for general projects and $40/hr for design-specific tasks. #J-18808-Ljbffr Apply for the AI Design Illustrator UI/UX Critique (Remote) job at DataAnnotation in New York, NY.",FREELANCE,2026-07-01T00:00:00.000Z,2026-06-01T00:00:00.000Z,2026-06-01T00:00:00.000Z,https://www.mediabistro.com/jobs/3539731150-ai-design-illustrator-ui-ux-critique-remote,https://www.mediabistro.com/jobs/3539731150-ai-design-illustrator-ui-ux-critique-remote,DataAnnotation,https://www.dataannotation.tech,https://www.google.com/s2/favicons?domain=www.dataannotation.tech&sz=128,,San Francisco,California,United States,"San Francisco, California","San Francisco, California, United States",,,,REMOTE,20,20,USD,HOURLY,"illustrator,illustration,remote","Adobe Illustrator,digital illustration,visual storytelling",,,1,,FALSE,,REJECT,Rule 1 fail — DataAnnotation core business is AI training data; dead link (HTTP 405) is secondary.
,,Illustrator,"DataAnnotation connects creative professionals with flexible remote projects that help improve AI systems. This illustrator role focuses on reviewing, critiquing, and refining visual design output so models better understand layout, illustration, and user-facing creative work.

We're looking for an illustrator with a strong eye for visual craft, clear written feedback skills, and comfort working asynchronously. You should be fluent in English, detail-oriented, and able to explain why a design works or falls short. Pay starts around $20 per hour for general projects, with higher rates for design-specific work.

In this role, you'll evaluate AI-generated visuals, compare them against briefs, and provide structured critique across illustration and design tasks. The work is remote, part-time or full-time, and suited to candidates who want flexible hours while staying active in creative review work.",FREELANCE,,04-06-2026,04-06-2026,https://jooble.org/away/-6960035906673515915,https://jooble.org/away/-6960035906673515915,DataAnnotation,https://www.dataannotation.tech,https://www.google.com/s2/favicons?domain=www.dataannotation.tech&sz=128,,San Francisco,California,United States,"San Francisco, California","San Francisco, California, United States",,,,REMOTE,20,20,USD,HOURLY,"illustrator,illustration,remote","Adobe Illustrator,digital illustration,visual storytelling",,,1,,FALSE,,REJECT,Rule 1 fail — DataAnnotation AI training data company; listing no longer available (dead link).
,,Digital Artist,"Gray Duck Art is a small, creative startup specializing in custom paint-by-number kits featuring people's beloved pets. Who We're Looking For: -An artist that can transform a photo into paint by number outlines that includes highlights, lowlights, and key details without ai. This is a hybrid role in Los Angeles, CA, United States.

Who We're Looking For: -An artist that can transform a photo into paint by number outlines that includes highlights, lowlights, and key details without ai. Your resume or relevant experience Please research photos from our website and social media to understand our style and vibe before drawing your application drawing. Pay ranges from USD21 to USD26 per hour.

Every design is hand-drawn by our team of real artists, because we believe in supporting true craftsmanship. Tools: -You must be able to draw digitally using Procreate/illustrator or similar software. -Absolutely no AI, we support and employ real artists only.",FREELANCE,,2026-06-01T17:04:36.201Z,2026-06-01T17:04:36.201Z,https://www.simplyhired.com/job/Tpnfrs9wEBl9dnKQvW-I_8uOAwcnW7ABpIqammj6FEILD0GcEe9z_w,https://www.simplyhired.com/job/Tpnfrs9wEBl9dnKQvW-I_8uOAwcnW7ABpIqammj6FEILD0GcEe9z_w,Gray Duck Art,https://grayduckart.com,https://www.google.com/s2/favicons?domain=grayduckart.com&sz=128,,Los Angeles,CA,United States,"Los Angeles, CA","Los Angeles, CA, United States",,,,HYBRID,21,26,USD,HOURLY,"illustrator,illustration,remote","Adobe Illustrator,digital illustration,visual storytelling",,,1,,FALSE,,PASS,
,,2D Visual Artist (Remote),"Role: 2D Visual Artist (Remote) Location: Remote (Work from Anywhere) Payout: $20 - $70/hour Role Overview: We are hiring for one of our clients, seeking a 2D Artist (Krita) to work on a contractor basis. In this role, you will apply your Krita expertise to help train next-generation AI systems for 2D artistry, contributing to the development of frontier AI models in the technology industry.

Role: 2D Visual Artist (Remote) Location: Remote (Work from Anywhere) Payout: $20 - $70/hour Role Overview: We are hiring for one of our clients, seeking a 2D Artist (Krita) to work on a contractor basis. Key Responsibilities: Leverage strong Krita skills to create high-quality 2D illustrations, assets, and graphics that meet project requirements and timelines. Demonstrate proficiency with Krita's brushes, layers, and vector tools to deliver polished visual solutions and support the training and refinement of AI models focused on artistic tasks.

Role: 2D Visual Artist (Remote) Location: Remote (Work from Anywhere) Payout: $20 - $70/hour Role Overview: We are hiring for one of our clients, seeking a 2D Artist (Krita) to work on a contractor basis. In this role, you will apply your Krita expertise to help train next-generation AI systems for 2D artistry, contributing to the development of frontier AI models in the technology industry. By joining this project, you will be part of a global effort to advance AI capabilities and enable more efficient and effective AI systems. Key Responsibilities: Leverage strong Krita skills to create high-quality 2D illustrations, assets, and graphics that meet project requirements and timelines.",FREELANCE,,04-06-2026,04-06-2026,https://www.linkedin.com/jobs/view/2d-visual-artist-remote-at-hire-feed-4422325686,https://www.linkedin.com/jobs/view/2d-visual-artist-remote-at-hire-feed-4422325686,Hire Feed,https://www.hirefeed.com,https://www.google.com/s2/favicons?domain=www.hirefeed.com&sz=128,,Los Angeles,CA,United States,"Los Angeles, CA","Los Angeles, CA, United States",,,,REMOTE,20,70,USD,HOURLY,"illustrator,illustration,remote","Adobe Illustrator,digital illustration,visual storytelling",,,1,,FALSE,,REJECT,Rule 1 fail — role explicitly involves training next-generation AI systems; listing also no longer accepting applications.
,,Designer-Illustrator (Freelance),"Hovercraft is a brand studio looking for a freelance designer-illustrator who can move comfortably between concept, illustration, and polished delivery. The team works on brand-led creative across campaigns, packaging, and digital touchpoints.

We're looking for a versatile illustrator-designer with strong drawing skills, a clear personal style, and experience translating briefs into finished artwork. You should be confident in Adobe Illustrator and Photoshop, communicate well with art directors, and manage deadlines independently in a freelance setup.

Day-to-day work includes developing illustrated concepts, refining compositions for brand use, and delivering production-ready assets across print and digital formats. This is a remote freelance role suited to someone who enjoys collaborative creative work without needing heavy oversight.",FREELANCE,,03-06-2026,03-06-2026,https://www.indeed.com/viewjob?jk=76c8a674635589ff,https://www.indeed.com/viewjob?jk=76c8a674635589ff,Hovercraft,https://hovercraftstudio.com,https://www.google.com/s2/favicons?domain=hovercraftstudio.com&sz=128,,Los Angeles,CA,United States,"Los Angeles, CA","Los Angeles, CA, United States",,,,REMOTE,50,50,USD,HOURLY,"illustrator,illustration,remote","Adobe Illustrator,digital illustration,visual storytelling",,,1,,FALSE,,PASS,All rules clear; active listing confirmed at /hr remote.
