"title","jobType","description","deadline","keywords","skills","jobLink","workEmail","numberOfPositions","workType","formattedAddress","city","state","country","latitude","longitude","company","companyWebsite","companyLogo","companyEmail","salaryMin","salaryMax","salaryCurrency","salaryPeriod","allowEmailApplications","hiringTeam","screeningQuestions","externalApplicationLink","createdAt"
"Medical Illustrator","Contract","<div><p><strong>About the Company</strong><br />Anatomage, Inc. develops advanced 3D medical visualization technology. BioDigital, a division of Anatomage, operates a leading cloud platform for interactive anatomy, conditions, and procedures used by patients, educators, and healthcare professionals worldwide.</p><p><br /></p><p><strong>About the Role</strong><br />Anatomage is seeking a Medical Illustrator / Science Lead contractor with strong medical illustration and immersive media experience to lead the scientific direction of active healthcare education projects from scoping through final delivery.</p><p><br /></p><p><strong>Responsibilities</strong></p><ul><li>Own scientific direction across procedural training, mixed reality, multi-user, and web-based anatomy education projects</li><li>Guide cross-functional teams while ensuring scientific accuracy, clinical relevance, and production feasibility</li><li>Support clients including medical device companies, surgical training programs, and pharmaceutical brands</li><li>Lead projects from early scoping through final delivery across immersive healthcare experiences</li><li>Collaborate with production teams on medically accurate visual storytelling and education content</li></ul><p><br /></p><p><strong>Requirements</strong></p><ul><li>Strong background in medical illustration and immersive media production</li><li>Experience leading scientific direction on healthcare education or visualization projects</li><li>Ability to ensure clinical accuracy and production feasibility across deliverables</li><li>Portfolio demonstrating medical illustration and immersive education work</li><li>Availability for a part-time contract engagement</li></ul><p><br /></p><p><strong>Location</strong><br />Remote.</p></div>","","Medical Illustrator,Science Lead,Healthcare Education,3D Visualization,Contract","Medical illustration,Immersive media,Scientific accuracy,Clinical visualization,Project leadership","https://jobs.workable.com/view/tN8Z21XGL6YTzPaVCSugyh/remote-medical-illustrator,-science-lead-(contractor)-in-new-york-at-anatomage,-inc","","","Remote","","Remote","","","","","Anatomage","https://www.anatomage.com","https://www.google.com/s2/favicons?domain=www.anatomage.com&sz=256","","","","","","false","","","https://jobs.workable.com/view/tN8Z21XGL6YTzPaVCSugyh/remote-medical-illustrator,-science-lead-(contractor)-in-new-york-at-anatomage,-inc","2026-06-10T12:00:00.000Z"
"Illustrators","Full-time","<div><p><strong>About the Company</strong><br />Anemative is a game development studio creating an anime-inspired mobile cricket game with a strong visual identity and player-focused UI.</p><p><br /></p><p><strong>About the Role</strong><br />Anemative is hiring a creative Illustration and Game UI Artist to design game UI screens, HUDs, menus, icons, and anime-inspired visual assets for a mobile cricket title.</p><p><br /></p><p><strong>Responsibilities</strong></p><ul><li>Design game UI screens, HUDs, menus, and interactive buttons</li><li>Create UI concepts through sketches and illustrations</li><li>Design icons, rewards, profile screens, and in-game interfaces</li><li>Produce anime-inspired visual assets aligned with the game's art direction</li><li>Collaborate closely with game designers and developers on implementation</li></ul><p><br /></p><p><strong>Requirements</strong></p><ul><li>Strong illustration and game UI design skills</li><li>Experience creating polished interface and HUD systems for games</li><li>Ability to deliver anime-inspired visual assets with consistent style</li><li>Comfort collaborating with design and development teams in a remote workflow</li><li>Portfolio demonstrating UI and illustration work for games or interactive products</li></ul><p><br /></p><p><strong>Location</strong><br />Remote.</p></div>","","Illustration,Game UI,Mobile Games,Anime Art,Remote","Game UI design,Illustration,Icon design,HUD design,Visual concepting","https://in.indeed.com/viewjob?jk=fb93e2af5cf1c2b2&from=shareddesktop_copy","","","Remote","","Remote","","","","","Anemative","https://www.anemative.com","https://www.google.com/s2/favicons?domain=www.anemative.com&sz=256","","","","","","false","","","https://in.indeed.com/viewjob?jk=fb93e2af5cf1c2b2&from=shareddesktop_copy","2026-06-10T12:00:00.000Z"
"Illustrators","Freelance","<div><p><strong>About the Company</strong><br />Hovercraft is a creative studio producing high-profile design and illustration for leading brands across campaigns, story-driven environments, immersive digital installations, and browser-based experiences.</p><p><br /></p><p><strong>About the Role</strong><br />Hovercraft is seeking a freelance Designer-Illustrator to originate bold concepts within brand systems and deliver polished design and illustration from concept through final handoff.</p><p><br /></p><p><strong>Responsibilities</strong></p><ul><li>Take ideas from concept through final handoff with creatives, technologists, producers, and leadership</li><li>Develop original design directions and refine work within established brand guidelines</li><li>Combine conceptual thinking with strong craft and attention to detail</li><li>Adapt to different brand styles and spot opportunities for interactive or animation outputs</li><li>Bring outside inspiration and new thinking into the studio</li></ul><p><br /></p><p><strong>Requirements</strong></p><ul><li>5+ years of experience in a similar design or illustration role</li><li>Proficiency in Figma and/or Adobe Creative Cloud</li><li>Strong conceptual thinking with excellent craft and execution</li><li>Ability to work independently and within cross-disciplinary teams</li><li>Portfolio demonstrating brand design and illustration work</li></ul><p><br /></p><p><strong>Compensation</strong><br />$60+ per hour (freelance, remote United States).</p><p><br /></p><p><strong>Location</strong><br />Remote.</p></div>","","Illustration,Brand Design,Freelance,Campaign Creative,Remote","Adobe Creative Cloud,Figma,Concept development,Brand systems,Illustration","https://job-boards.greenhouse.io/hovercraft/jobs/4205989009","","","Remote","","Remote","","","","","Hovercraft","https://hovercraftstudio.com","https://www.google.com/s2/favicons?domain=hovercraftstudio.com&sz=256","","60","","USD","hour","false","","","https://job-boards.greenhouse.io/hovercraft/jobs/4205989009","2026-06-10T12:00:00.000Z"
"Medical Illustrator","Full-time","<div><p><strong>About the Company</strong><br />BioRender is the world's leading visual science communication platform, used by over a million scientists to create figures, presentations, and visual content that advances research.</p><p><br /></p><p><strong>About the Role</strong><br />BioRender is building a dedicated team of formally trained medical illustrators and animators to serve as subject matter experts on scientific visual communication across product, marketing, sales, and education.</p><p><br /></p><p><strong>Responsibilities</strong></p><ul><li>Set the quality standard for how science is represented across BioRender products and content</li><li>Think critically about how science is represented visually and contribute to product and design decisions</li><li>Work across animation, demos, and visual systems with direct impact on multiple teams</li><li>Support marketing, sales, and education with scientifically accurate visual communication</li><li>Help define a new function at a high-growth science visualization company</li></ul><p><br /></p><p><strong>Requirements</strong></p><ul><li>Formal training in medical illustration, biomedical visualization, or equivalent</li><li>Strong portfolio demonstrating static illustration and motion graphics skills</li><li>Deep understanding of anatomy, molecular biology, and scientific visual communication</li><li>Ability to think critically about scientific accuracy in visual products</li><li>Eligible to work remotely in the United States or Canada</li></ul><p><br /></p><p><strong>Location</strong><br />Remote (United States or Canada).</p></div>","","Medical Illustrator,Animation,Scientific Visualization,BioRender,Remote","Medical illustration,Animation,Motion graphics,Biomedical visualization,Scientific accuracy","https://jobs.gem.com/biorender/am9icG9zdDrUatIEbghdKZLAS789ZxHY?src=Linkedin","","","Remote","","Remote","","","","","BioRender","https://www.biorender.com","https://www.google.com/s2/favicons?domain=www.biorender.com&sz=256","","","","","","false","","","https://jobs.gem.com/biorender/am9icG9zdDrUatIEbghdKZLAS789ZxHY?src=Linkedin","2026-06-10T12:00:00.000Z"
"Senior Illustrator","Full-time","<div><p><strong>About the Company</strong><br />Function Health is the AI operating system for health, helping members understand, measure, and improve their health through advanced diagnostics, biomarker testing, and AI-enabled insights. The company is venture-backed and recognized as one of Fast Company's Most Innovative Companies of 2024.</p><p><br /></p><p><strong>About the Role</strong><br />Function Health is hiring a Senior Brand Designer (Illustrator) to shape durable creative systems, storytelling, and brand experiences as the company scales its next chapter of growth.</p><p><br /></p><p><strong>Responsibilities</strong></p><ul><li>Build and evolve brand illustration systems that support Function's health storytelling</li><li>Create compelling visual narratives across marketing, product, and brand touchpoints</li><li>Collaborate with cross-functional teams in a fast-moving, mission-driven environment</li><li>Develop illustration and design work that helps define modern proactive health</li><li>Maintain high craft standards across scalable brand creative systems</li></ul><p><br /></p><p><strong>Requirements</strong></p><ul><li>Strong background in brand design with deep illustration capability</li><li>Portfolio demonstrating systems thinking and high-quality brand storytelling</li><li>Ability to thrive in a fast-paced startup environment</li><li>Excellent collaboration and communication skills across teams</li><li>Passion for health, science, and mission-driven creative work</li></ul><p><br /></p><p><strong>Location</strong><br />Remote (United States).</p></div>","","Brand Design,Illustration,Health Tech,Creative Systems,Remote","Brand illustration,Visual storytelling,Creative systems,Cross-functional collaboration,Portfolio development","https://www.linkedin.com/jobs/view/4419372060","","","Remote","","Remote","","","","","Function Health","https://www.functionhealth.com","https://www.google.com/s2/favicons?domain=www.functionhealth.com&sz=256","","","","","","false","","","https://www.linkedin.com/jobs/view/4419372060","2026-06-10T12:00:00.000Z"
"Illustrators","Full-time","<div><p><strong>About the Company</strong><br />Remote VA connects businesses with skilled virtual assistants and creative professionals, including e-commerce design specialists supporting Amazon listing optimization.</p><p><br /></p><p><strong>About the Role</strong><br />Remote VA is hiring an Amazon Listing Designer / Graphic Designer with advanced Adobe Illustrator skills to create high-quality, print-ready graphics for Amazon product listings and custom merchandise.</p><p><br /></p><p><strong>Responsibilities</strong></p><ul><li>Design and produce high-quality graphics for Amazon product listings and custom merchandise</li><li>Create posters, banners, yard signs, infographics, and listing visuals using Adobe Illustrator</li><li>Deliver print-ready, production-quality artwork aligned with e-commerce requirements</li><li>Collaborate with e-commerce clients on conversion-focused listing visuals</li><li>Meet daily production goals in a fully remote workflow</li></ul><p><br /></p><p><strong>Requirements</strong></p><ul><li>2–5+ years of professional graphic design experience with commercial and print production focus</li><li>Advanced proficiency in Adobe Illustrator for vector-based design</li><li>Experience designing for Amazon product listings preferred</li><li>Strong attention to detail and ability to meet production deadlines</li><li>Portfolio showcasing commercial design and e-commerce listing work</li></ul><p><br /></p><p><strong>Location</strong><br />Remote.</p></div>","","Amazon Listings,Graphic Design,Adobe Illustrator,E-commerce,Remote","Adobe Illustrator,Amazon listing design,Print production,Vector graphics,E-commerce visuals","https://himalayas.app/companies/remote-va/jobs/amazon-listing-designer-graphic-designer-adobe-illustrator","","","Remote","","Remote","","","","","Remote VA","https://remoteva.ph","https://www.google.com/s2/favicons?domain=remoteva.ph&sz=256","","","","","","false","","","https://himalayas.app/companies/remote-va/jobs/amazon-listing-designer-graphic-designer-adobe-illustrator","2026-06-10T12:00:00.000Z"
"Brand Designer","Full-time","<div><p><strong>About the Company</strong><br />Hightouch is an Agentic Marketing Platform powered by a Composable CDP, helping marketing teams analyze performance, brainstorm ideas, and generate on-brand creative. Named a Leader in the 2026 Gartner Magic Quadrant for Customer Data Platforms.</p><p><br /></p><p><strong>About the Role</strong><br />Hightouch is hiring a Brand Designer to help define and evolve the company's visual identity and marketing creative across a fast-growing agentic marketing platform.</p><p><br /></p><p><strong>Responsibilities</strong></p><ul><li>Shape Hightouch's brand identity across marketing, product, and growth touchpoints</li><li>Create high-quality brand and marketing design assets for campaigns and communications</li><li>Collaborate with marketing, product, and leadership on brand systems and storytelling</li><li>Maintain consistency and craft across evolving product and GTM needs</li><li>Contribute to a culture focused on velocity, quality, and customer impact</li></ul><p><br /></p><p><strong>Requirements</strong></p><ul><li>Strong brand design portfolio with systems thinking</li><li>Experience creating marketing and brand assets for technology companies</li><li>Excellent visual craft and ability to work across channels</li><li>Comfort operating in a fast-paced, remote startup environment</li><li>Based in North America for remote collaboration</li></ul><p><br /></p><p><strong>Compensation</strong><br />$140,000 – $180,000 per year (remote North America).</p><p><br /></p><p><strong>Location</strong><br />Remote.</p></div>","","Brand Design,Marketing Creative,CDP,Remote,SaaS","Brand systems,Marketing design,Visual identity,Campaign creative,Figma","https://job-boards.greenhouse.io/hightouch/jobs/5823458004","","","Remote","","Remote","","","","","Hightouch","https://hightouch.com","https://www.google.com/s2/favicons?domain=hightouch.com&sz=256","","140000","180000","USD","year","false","","","https://job-boards.greenhouse.io/hightouch/jobs/5823458004","2026-06-10T12:00:00.000Z"
"Brand Designer","Full-time","<div><p><strong>About the Company</strong><br />WorkOS builds modern developer tools and APIs that make it easy for companies to add enterprise-ready features such as SSO, directory sync, and audit logs to their applications.</p><p><br /></p><p><strong>About the Role</strong><br />WorkOS is hiring a Brand Designer focused on web to shape the company's visual identity, marketing website, and brand storytelling for a developer-first audience.</p><p><br /></p><p><strong>Responsibilities</strong></p><ul><li>Design and evolve WorkOS brand and web experiences across marketing properties</li><li>Create compelling visual systems that communicate complex developer products clearly</li><li>Collaborate with marketing, product, and engineering on brand and web initiatives</li><li>Maintain high craft standards across web, campaign, and brand touchpoints</li><li>Help define how WorkOS shows up visually to technical and enterprise buyers</li></ul><p><br /></p><p><strong>Requirements</strong></p><ul><li>Strong brand and web design portfolio</li><li>Experience designing for developer tools, SaaS, or technical audiences</li><li>Excellent visual craft and systems thinking</li><li>Ability to work independently in a remote environment across US and Canada</li><li>Clear communication and collaboration across cross-functional teams</li></ul><p><br /></p><p><strong>Compensation</strong><br />$150,000 – $185,000 per year plus equity (United States and Canada).</p><p><br /></p><p><strong>Location</strong><br />Remote.</p></div>","","Brand Design,Web Design,Developer Tools,Remote,SaaS","Brand design,Web design,Visual systems,Marketing design,Developer audience","https://jobs.ashbyhq.com/workos/231f2316-81ac-4585-b754-42aedb22fd12","","","Remote","","Remote","","","","","WorkOS","https://workos.com","https://www.google.com/s2/favicons?domain=workos.com&sz=256","","150000","185000","USD","year","false","","","https://jobs.ashbyhq.com/workos/231f2316-81ac-4585-b754-42aedb22fd12","2026-06-10T12:00:00.000Z"
"Senior Product Designer","Full-time","<div><p><strong>About the Company</strong><br />Remote is a global HR platform solving modern organizations' biggest challenge: navigating global employment compliantly with ease. The company enables businesses of all sizes to recruit, pay, and manage international teams fully remotely.</p><p><br /></p><p><strong>About the Role</strong><br />Remote is hiring a Senior Staff Product Designer to help build best-in-class HR platform experiences for a global, async, remote-first product organization.</p><p><br /></p><p><strong>Responsibilities</strong></p><ul><li>Design complex product experiences across Remote's global employment platform</li><li>Partner with product, engineering, and business stakeholders on high-impact initiatives</li><li>Contribute to design systems, patterns, and product quality at scale</li><li>Navigate ambiguity and deliver thoughtful solutions for global HR workflows</li><li>Help define the future of work through accessible, compliant product design</li></ul><p><br /></p><p><strong>Requirements</strong></p><ul><li>Senior product design experience on complex B2B or platform products</li><li>Strong systems thinking and end-to-end design process</li><li>Excellent collaboration skills in a remote, async environment</li><li>Ability to simplify complex workflows for global users</li><li>Portfolio demonstrating impact on mature or scaling SaaS products</li></ul><p><br /></p><p><strong>Location</strong><br />Remote (AMER).</p></div>","","Product Design,HR Tech,Remote,SaaS,Design Systems","Product design,UX systems,Cross-functional collaboration,Workflow design,Remote async work","https://job-boards.greenhouse.io/remotecom/jobs/7660139003","","","Remote","","Remote","","","","","Remote","https://remote.com","https://www.google.com/s2/favicons?domain=remote.com&sz=256","","","","","","false","","","https://job-boards.greenhouse.io/remotecom/jobs/7660139003","2026-06-10T12:00:00.000Z"
"Senior Product Designer","Full-time","<div><p><strong>About the Company</strong><br />Weedmaps is a leading cannabis technology platform connecting consumers, retailers, and brands through a mobile-first, data-first marketplace and discovery experience.</p><p><br /></p><p><strong>About the Role</strong><br />Weedmaps is hiring a Senior Product Designer to improve critical user journeys across web and native app experiences with research-backed, user-centered design.</p><p><br /></p><p><strong>Responsibilities</strong></p><ul><li>Identify, evaluate, and improve critical user journeys across Weedmaps products</li><li>Make quantitative and qualitative-informed design decisions for mobile-first experiences</li><li>Communicate design rationale through flows, wireframes, hi-fi comps, and prototypes</li><li>Align design work tightly with business needs and product goals</li><li>Contribute to a collaborative, research-backed design culture</li></ul><p><br /></p><p><strong>Requirements</strong></p><ul><li>Deep understanding of user-centered design and mobile product design</li><li>Ability to communicate design decisions clearly in writing and presentations</li><li>Experience with research, testing, and data-informed design</li><li>Strong portfolio demonstrating web and native app product design</li><li>Senior-level ownership of complex product initiatives</li></ul><p><br /></p><p><strong>Location</strong><br />Remote (United States).</p></div>","","Product Design,Cannabis Tech,Mobile UX,Remote,User Research","Product design,User research,Wireframing,Prototyping,Mobile-first design","https://job-boards.greenhouse.io/weedmaps77/jobs/8515259002","","","Remote","","Remote","","","","","Weedmaps","https://weedmaps.com","https://www.google.com/s2/favicons?domain=weedmaps.com&sz=256","","","","","","false","","","https://job-boards.greenhouse.io/weedmaps77/jobs/8515259002","2026-06-10T12:00:00.000Z"
